Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2022-01-03,3284.90234375,3292.760961797249,3214.174781324761,3237.7506354665074,90842500
2022-01-04,3269.18505859375,3308.478148240309,3269.18505859375,3300.6195303109976,93950000
2022-01-05,3308.478271484375,3324.195507928481,3245.60932570795,3284.9024168182154,174376400
2022-01-06,3269.18505859375,3332.054002028245,3253.467822735126,3332.054002028245,137280000
2022-01-07,3292.760986328125,3300.61960443392,3261.326513904945,3277.0437501165347,101275000
2022-01-10,3284.90234375,3308.4781978917467,3284.90234375,3292.760961797249,70722600
2022-01-11,3261.326416015625,3284.9022696253764,3245.6091802757905,3284.9022696253764,99404900
2022-01-12,3269.18505859375,3284.9022944523736,3245.609204805814,3277.0436765230615,65907000
2022-01-13,3292.760986328125,3292.760986328125,3277.0437501165347,3284.90236822233,103522400
2022-01-14,3284.90234375,3308.4781978917467,3269.1851076555026,3292.760961797249,110213800
2022-01-17,3308.478271484375,3308.478271484375,3284.9024168182154,3300.619653262322,102957100
2022-01-18,3292.760986328125,3332.0540768571004,3253.4678957991496,3332.0540768571004,120275000
2022-01-19,3245.609130859375,3308.4780728614937,3245.609130859375,3308.4780728614937,109954700
2022-01-20,3245.609130859375,3269.1849841101694,3229.8918953588454,3245.609130859375,86394600
2022-01-21,3277.043701171875,3277.043701171875,3229.891993241344,3245.609229218188,84972500
2022-01-24,3237.750732421875,3269.1852055521845,3222.03349585672,3253.4679689870295,76709900
2022-01-25,3198.45751953125,3229.891991467675,3143.447193642506,3222.033373483569,185007800
2022-01-26,3214.175048828125,3222.033667529416,3167.0233366203774,3167.0233366203774,97589500
2022-01-27,3253.4677734375,3253.4677734375,3190.598830955616,3198.4574487658515,80682900
2022-01-28,3253.4677734375,3277.0436268682065,3214.1746843863225,3277.0436268682065,84812100
2022-01-31,3198.45751953125,3277.043699372313,3198.45751953125,3277.043699372313,78498500
2022-02-02,3198.45751953125,3237.750609451781,3190.5989015471437,3237.750609451781,81546300
2022-02-03,3245.609130859375,3284.902219610699,3245.609130859375,3284.902219610699,157898800
2022-02-04,3308.478271484375,3308.478271484375,3261.3265621520563,3277.0437985961626,236602900
2022-02-07,3457.7919921875,3465.650610351562,3316.3368652343747,3332.0541015625,468016600
2022-02-08,3489.226318359375,3575.671114534945,3457.7918470228037,3497.0849361935175,310878100
2022-02-09,3497.085205078125,3536.378297270014,3442.0748760094802,3457.792112886236,149000100
2022-02-10,3512.802734375,3536.378591652685,3497.085496189877,3536.378591652685,112521600
2022-02-11,3497.085205078125,3497.085205078125,3442.0748760094802,3473.5093497629914,103418200
2022-02-14,3465.650390625,3497.084861288265,3442.074537627551,3497.084861288265,105260000
2022-02-15,3481.36767578125,3497.0849113378245,3449.933204668101,3489.226293559537,96658500
2022-02-16,3473.5087890625,3512.8018749116236,3465.6501718926756,3512.8018749116236,89636300
2022-02-17,3457.7919921875,3465.650610351562,3410.640283203125,3449.9333740234374,118305100
2022-02-18,3481.36767578125,3489.226293559537,3434.215969111526,3457.7918224463883,127058000
2022-02-21,3528.51953125,3528.51953125,3489.226440701559,3504.943676920935,133717300
2022-02-22,3481.36767578125,3512.802146894399,3473.509058002963,3489.226293559537,109060900
2022-02-23,3520.66064453125,3552.0951145717077,3504.9434095110214,3552.0951145717077,160827800
2022-02-24,3449.93359375,3512.8025430666285,3434.2163564208427,3512.8025430666285,217523600
2022-02-25,3575.6708984375,3575.6708984375,3465.650255408654,3497.084724845467,301346400
2022-03-01,3638.540283203125,3819.288504614943,3638.540283203125,3811.4298862926903,494657800
2022-03-02,3583.52978515625,3685.6918185050026,3575.6711672063457,3677.8332005550983,186635200
2022-03-04,3669.974365234375,3717.1260701410265,3622.8226603277235,3709.2674526565847,292022600
2022-03-07,3552.095458984375,3638.5402599773574,3552.095458984375,3599.247168616911,224515800
2022-03-08,3481.36767578125,3583.529706898984,3481.36767578125,3536.3780002292606,214870200
2022-03-09,3591.388427734375,3607.105663741965,3536.378101707809,3559.9539557191947,191967100
2022-03-10,3591.388427734375,3646.398753760941,3544.236719711604,3646.398753760941,225575800
2022-03-11,3594.862060546875,3627.542624733665,3570.3516374067826,3594.862060546875,275965300
2022-03-14,3692.90380859375,3709.2440909326606,3603.032255729743,3627.5426792381086,212052100
2022-03-15,3766.4345703125,3790.9449905097613,3701.0734497864696,3717.413729917977,357755700
2022-03-16,3799.1162109375,3807.2863533266127,3766.4356413810483,3799.1162109375,226817000
2022-03-17,3799.1162109375,3839.9669228830644,3766.4356413810483,3831.7967804939517,224068000
2022-03-18,3741.92431640625,3839.9660015522654,3741.92431640625,3839.9660015522654,257863400
2022-03-21,3750.0947265625,3782.775290628404,3725.584303513072,3758.264867578976,118791900
2022-03-22,3790.945556640625,3848.136545641669,3790.945556640625,3831.796263069942,177758500
2022-03-23,3799.1162109375,3831.7967804939517,3774.6057837701615,3823.6266381048385,146545100
2022-03-24,3864.47607421875,3864.4760742187495,3774.6045376090115,3790.9448169926,206271600
2022-03-25,3848.136474609375,3888.9871802846337,3799.1156277990644,3888.9871802846337,137104800
2022-03-28,3864.47607421875,3872.6462139105442,3815.455236067983,3864.4760742187495,106801800
2022-03-29,3831.7958984375,3880.816741487873,3815.455617420709,3880.816741487873,93155100
