Price,Close,High,Low,Open,Volume
Ticker,BRIS.JK,BRIS.JK,BRIS.JK,BRIS.JK,BRIS.JK
Date,,,,,
2022-01-03,1677.6778564453125,1696.5282171556232,1677.6778564453125,1677.6778564453125,6117446
2022-01-04,1691.8155517578125,1705.9532924169364,1672.965309522911,1677.6778110986888,8296551
2022-01-05,1687.10302734375,1734.2287502589593,1682.3904078658718,1696.5281483336132,13923589
2022-01-06,1644.6900634765625,1696.5284139868288,1635.2648230449417,1687.10329152112,24869148
2022-01-07,1644.6900634765625,1658.8278061580816,1630.5523207950432,1644.6900634765625,12884841
2022-01-10,1658.82763671875,1705.9533621995945,1639.977275746872,1644.6898954813166,24485372
2022-01-11,1639.9771728515625,1668.2526535523714,1639.9771728515625,1663.5400341136058,11168769
2022-01-12,1526.8753662109375,1654.1150390447997,1526.8753662109375,1644.6899174161103,38545431
2022-01-13,1522.162841796875,1541.0130847745932,1446.7615159883032,1536.3005830131135,41341571
2022-01-14,1493.887451171875,1526.875437393122,1460.899346984721,1522.1629353420335,19078367
2022-01-17,1451.47412109375,1503.3124657091125,1446.7615014138448,1493.8873443152008,17632568
2022-01-18,1409.0609130859375,1470.3244977225738,1380.785430633013,1451.4741367653241,30521409
2022-01-19,1418.4862060546875,1451.47419151685,1394.9232244778239,1409.0609662375803,13480345
2022-01-20,1460.899169921875,1489.1746506650093,1413.7734473272465,1423.1985682529937,24407345
2022-01-21,1465.61181640625,1475.0369375058779,1432.6238335746048,1460.8991968734886,8785422
2022-01-24,1460.899169921875,1470.324408813515,1446.7614295503079,1470.324408813515,6383926
2022-01-25,1423.1986083984375,1460.8992111307737,1418.4861067855804,1460.8992111307737,8416718
2022-01-26,1427.9112548828125,1437.3363762520169,1413.773513846057,1413.773513846057,8063189
2022-01-27,1418.4862060546875,1465.6119332766066,1418.4862060546875,1423.198707997337,11475954
2022-01-28,1432.6239013671875,1456.1867642142129,1423.198661855657,1437.3364031570525,12035982
2022-01-31,1456.1868896484375,1512.7378597252527,1432.6240247717349,1432.6240247717349,28254024
2022-02-02,1456.1868896484375,1498.600117206049,1442.0491471292337,1498.600117206049,16761665
2022-02-03,1493.887451171875,1550.4384195121922,1460.899346984721,1460.899346984721,53555754
2022-02-04,1489.1748046875,1503.3125465213066,1470.324560886361,1503.3125465213066,13113692
2022-02-07,1550.4383544921875,1564.576095984379,1479.74964703123,1493.8873885234216,32313969
2022-02-08,1564.5760498046875,1597.5640336688666,1555.1508104441518,1555.1508104441518,35926569
2022-02-09,1578.7137451171875,1588.138866238617,1555.1507653647705,1569.2885060298624,13648702
2022-02-10,1574.0010986328125,1616.4143199021414,1564.5759776727039,1578.7137180958134,27728550
2022-02-11,1574.0010986328125,1583.4262195929214,1536.3004968264845,1574.0010986328125,9468693
2022-02-14,1522.162841796875,1583.4263084233085,1517.4502220694956,1574.0011869344494,15892401
2022-02-15,1555.15087890625,1564.576118681711,1512.73777178029,1522.1628935898473,10607819
2022-02-16,1559.8634033203125,1583.4262653849592,1545.725662488345,1555.1507837210245,18539255
2022-02-17,1545.7257080078125,1569.2885707663527,1536.3005864975764,1559.8634492561166,6377364
2022-02-18,1602.2767333984375,1616.4144751796603,1541.013146357838,1545.7257662735472,34258276
2022-02-21,1654.114990234375,1672.9653509014095,1602.2766458574026,1602.2766458574026,48788853
2022-02-22,1625.839599609375,1654.115083216415,1606.989355848618,1654.115083216415,29922317
2022-02-23,1630.5521240234375,1649.4023666800474,1621.126884729235,1625.8395043763362,15569222
2022-02-24,1522.162841796875,1635.2646535608828,1517.4502220694956,1635.2646535608828,48847399
2022-02-25,1569.28857421875,1583.4263154981568,1489.1747462907451,1517.4502288495587,21708098
2022-03-01,1691.8155517578125,1715.3784135343872,1569.2885053673713,1569.2885053673713,99128498
2022-03-02,1672.96533203125,1720.091056218436,1639.9772307275023,1691.8155745197657,62314518
2022-03-04,1639.9771728515625,1691.8155148144147,1635.2645534127967,1672.965272991137,19383501
2022-03-07,1588.1390380859375,1644.6900068655011,1574.0012958910465,1644.6900068655011,24417599
2022-03-08,1555.15087890625,1616.4144655831324,1545.7257570966926,1545.7257570966926,19790961
2022-03-09,1592.8515625,1606.9893038460189,1550.438338461943,1559.863460037322,11587304
2022-03-10,1602.2767333984375,1616.4144751796603,1583.426371701506,1597.5641134827285,11721312
2022-03-11,1574.0010986328125,1602.2765794790319,1569.2884791698116,1602.2765794790319,10036308
2022-03-14,1588.1390380859375,1597.5641602272287,1574.0012958910465,1574.0012958910465,9154638
2022-03-15,1569.28857421875,1611.7017980569703,1569.28857421875,1588.1389352465924,19496183
2022-03-16,1559.8634033203125,1588.138884984247,1555.1507837210245,1574.0011441522797,11319183
2022-03-17,1550.4383544921875,1578.7138374765705,1545.725734672823,1559.8634761650144,16850457
2022-03-18,1522.162841796875,1555.1508259908317,1522.162841796875,1550.4383242293518,15511086
2022-03-21,1522.162841796875,1597.564049639547,1517.4502220694956,1597.564049639547,9576043
2022-03-22,1536.3006591796875,1550.4384010968456,1522.1629172625294,1550.4384010968456,5272586
2022-03-23,1526.8753662109375,1550.438347231513,1522.1628643795436,1550.438347231513,10127356
2022-03-24,1526.8753662109375,1536.3006058055282,1451.4741572496202,1451.4741572496202,9315408
2022-03-25,1517.4501953125,1531.5879362794497,1423.1986281881354,1423.1986281881354,6679115
2022-03-28,1522.162841796875,1541.0130847745932,1517.4502220694956,1541.0130847745932,5039429
2022-03-29,1522.162841796875,1555.1508259908317,1517.4502220694956,1555.1508259908317,5371221
2022-03-30,1526.8753662109375,1536.3006058055282,1512.7377427508543,1522.1628643795436,9497401
2022-03-31,1512.73779296875,1531.5880368518945,1512.73779296875,1526.8754168981557,5994203
2022-04-01,1512.73779296875,1526.8754168981557,1512.73779296875,1512.73779296875,6366906
2022-04-04,1493.887451171875,1522.1629353420335,1489.1748311548795,1512.7378132739498,10627300
2022-04-05,1479.74951171875,1578.7136931145258,1479.74951171875,1578.7136931145258,11461702
2022-04-06,1423.1986083984375,1484.462191058643,1423.1986083984375,1479.7495714798897,30163984
2022-04-07,1437.33642578125,1460.8992889991632,1423.1986842573215,1460.8992889991632,10246908
2022-04-08,1437.33642578125,1456.1867871351221,1437.33642578125,1437.33642578125,6154870
2022-04-11,1427.9112548828125,1446.761497621221,1413.773513846057,1437.3363762520169,17552901
2022-04-12,1418.4862060546875,1460.8993133680528,1413.773586146134,1460.8993133680528,12221257
2022-04-13,1418.4862060546875,1437.3364497570933,1418.4862060546875,1418.4862060546875,7361873
2022-04-14,1470.3245849609375,1484.4623270262305,1418.4862367101655,1418.4862367101655,21435364
2022-04-18,1522.162841796875,1526.8753435583546,1446.7615159883032,1470.3244966593006,24040487
2022-04-19,1484.462158203125,1578.713721930849,1484.462158203125,1578.713721930849,15265113
2022-04-20,1465.61181640625,1489.1746781382672,1456.1866953066221,1484.4621765714007,24419957
2022-04-21,1470.3245849609375,1484.4623270262305,1465.6119649505376,1475.0370870054307,7578625
2022-04-22,1446.761474609375,1470.3244546064457,1437.3363533900845,1470.3244546064457,6253916
2022-04-25,1423.1986083984375,1442.0489687475535,1418.4861067855804,1423.1986083984375,9839549
2022-04-26,1442.048828125,1442.048828125,1423.198469614092,1423.198469614092,5812620
2022-04-27,1442.048828125,1456.18656751671,1432.6237078524882,1442.048828125,5229728
2022-04-28,1489.1748046875,1493.8874246207372,1446.76157918608,1460.8993210198867,17432427
2022-05-09,1432.6239013671875,1512.737729419794,1427.9112816114223,1489.1747486068682,17184197
2022-05-10,1432.6239013671875,1432.6239013671875,1394.9231792528665,1432.6239013671875,21849591
2022-05-11,1427.9112548828125,1446.761497621221,1423.1986352152614,1437.3363762520169,9674063
2022-05-12,1328.9468994140625,1432.6236932160111,1328.9468994140625,1432.6236932160111,22939810
2022-05-13,1352.5098876953125,1361.9351267353868,1262.9709425758685,1328.9470260269159,17473337
2022-05-17,1361.935302734375,1385.498167447733,1352.510062476304,1357.2226826053395,7556170
2022-05-18,1361.935302734375,1385.498167447733,1357.2226826053395,1385.498167447733,5479597
2022-05-19,1333.65966796875,1366.647651265928,1333.65966796875,1366.647651265928,7366589
2022-05-20,1357.22265625,1366.6477783591386,1333.6597919941994,1333.6597919941994,5475291
2022-05-23,1333.65966796875,1366.647651265928,1333.65966796875,1357.222530033291,5130990
2022-05-24,1338.3724365234375,1357.2226810866673,1328.9471962759128,1333.6598163996753,5528095
2022-05-25,1333.65966796875,1352.5099104340243,1333.65966796875,1338.3722875680169,5315854
2022-05-27,1376.0728759765625,1409.0608589264286,1338.372273477046,1338.372273477046,14550263
2022-05-30,1352.5098876953125,1390.2106079238206,1347.79738614117,1390.2106079238206,9431986
2022-05-31,1357.22265625,1376.0730184341849,1352.5100362124767,1371.3603983966618,7776921
2022-06-02,1366.6475830078125,1380.7853231335976,1357.2224622459194,1357.2224622459194,8636033
2022-06-03,1404.348388671875,1442.0489920124433,1366.6476673654088,1366.6476673654088,26768034
2022-06-06,1399.6358642578125,1423.1987282033074,1385.4981222973342,1413.7736062182905,10161704
2022-06-07,1376.0728759765625,1413.773478476079,1371.3602564269122,1409.0608589264286,7194234
2022-06-08,1393.6429443359375,1398.4156164066019,1384.0973612503778,1393.6429443359375,5024664
2022-06-09,1388.8701171875,1407.9611633970778,1384.0973257670773,1393.6429086079227,5548088
2022-06-10,1379.3248291015625,1388.8702936833204,1355.461107911104,1388.8702936833204,10282384
2022-06-13,1355.4610595703125,1369.7791961962475,1345.9154758568582,1369.7791961962475,6536083
2022-06-14,1350.6881103515625,1360.2335734807987,1345.9153190508896,1350.6881103515625,4594339
2022-06-15,1350.6881103515625,1360.2335734807987,1345.9153190508896,1350.6881103515625,5063626
2022-06-16,1355.4610595703125,1374.5519880529746,1350.6882677135854,1350.6882677135854,6816610
2022-06-17,1331.59716796875,1365.0064707221998,1331.59716796875,1355.4610068521222,7803476
2022-06-20,1322.0517578125,1388.8702465620584,1307.7335016895859,1388.8702465620584,8328336
2022-06-21,1326.8243408203125,1331.597012461929,1317.2787585928702,1322.0515497065912,4824420
2022-06-22,1322.0517578125,1331.5972220704016,1312.5062935545984,1326.8245496775126,5640982
2022-06-23,1312.5062255859375,1322.0516893495235,1302.9606423502341,1322.0516893495235,6756013
2022-06-24,1312.5062255859375,1317.2788977316718,1307.7334339680858,1317.2788977316718,8246516
2022-06-27,1298.18798828125,1345.9154272358826,1298.18798828125,1345.9154272358826,8382370
2022-06-28,1293.4151611328125,1307.7334163210342,1293.4151611328125,1298.1879526862583,4345700
2022-06-29,1288.642333984375,1298.1879168275977,1288.642333984375,1293.4151254059864,5699835
2022-06-30,1279.096923828125,1293.4151792165355,1279.096923828125,1288.6423875963596,5582641
2022-07-01,1226.5968017578125,1283.8698283478686,1226.5968017578125,1279.0970363079878,14585841
2022-07-04,1150.2327880859375,1236.142204176915,1145.4599962861691,1221.8239482497315,23288418
2022-07-05,1150.2327880859375,1174.0965081405354,1145.4599962861691,1150.2327880859375,9101937
2022-07-06,1155.00537109375,1164.5509539550999,1145.4599077045127,1150.2326991351877,5528197
2022-07-07,1178.869140625,1183.6419322634586,1155.005421376943,1155.005421376943,5180102
2022-07-08,1197.960205078125,1197.960205078125,1178.869157719573,1188.4147411349088,4041796
2022-07-11,1197.960205078125,1221.8239246722255,1197.960205078125,1202.732996785793,2916819
2022-07-12,1450.916015625,1474.7797352279595,1178.8691581572077,1197.9602055228472,148209362
2022-07-13,1350.6881103515625,1455.6885631894881,1350.6881103515625,1431.8248456303431,53790551
2022-07-14,1355.4610595703125,1403.188500249091,1307.7334994194107,1350.6882677135854,27034308
2022-07-15,1388.8701171875,1422.2794181862332,1350.6881442404567,1355.4609356608794,41849410
2022-07-18,1446.1431884765625,1474.779699087199,1393.6429588477677,1393.6429588477677,59163926
2022-07-19,1446.1431884765625,1493.870626512879,1436.5977247637225,1446.1431884765625,38361490
2022-07-20,1460.4613037109375,1484.3250204403578,1446.1430497788645,1446.1430497788645,20097634
2022-07-21,1479.55224609375,1508.1887542828279,1441.3702749990152,1508.1887542828279,26618748
2022-07-22,1479.55224609375,1493.870500188289,1470.006783188093,1479.55224609375,13195820
2022-07-25,1517.734375,1546.3707644403535,1479.5522834686426,1484.3250747780896,35060484
2022-07-26,1560.6890869140625,1594.0983885920068,1532.0526962256865,1536.825368271025,48291883
2022-07-27,1546.370849609375,1598.8711984885106,1546.370849609375,1565.4618964265258,57619185
2022-07-28,1598.8712158203125,1603.6438879722489,1551.143657996126,1551.143657996126,43152075
2022-07-29,1560.6890869140625,1632.2803623152895,1560.6890869140625,1598.87118010946,39667025
2022-08-01,1560.6890869140625,1584.5529250292147,1560.6890869140625,1560.6890869140625,14398003
2022-08-02,1493.8707275390625,1565.4620089071666,1484.3252631806904,1560.689216991918,29328658
2022-08-03,1498.643310546875,1512.961564824564,1446.1430846860512,1446.1430846860512,11193480
2022-08-04,1517.734375,1555.9163470592475,1508.1887923811057,1508.1887923811057,18442158
2022-08-05,1517.734375,1527.2798381467844,1508.1887923811057,1522.5070468373374,8901385
2022-08-08,1493.8707275390625,1527.2800320015526,1484.3252631806904,1517.7345676431805,12057411
2022-08-09,1474.77978515625,1522.507225977969,1450.9160647453905,1493.8707136960882,18037466
2022-08-10,1470.0069580078125,1493.8706778459875,1470.0069580078125,1479.5524220486584,6717256
2022-08-11,1498.643310546875,1503.4161017968074,1479.5522650192536,1479.5522650192536,8806851
2022-08-12,1493.8707275390625,1512.961775727932,1479.5524712654417,1503.4163113695597,7322603
2022-08-15,1474.77978515625,1503.4162974381309,1474.77978515625,1493.8707136960882,7259444
2022-08-16,1455.688720703125,1489.0980244786886,1455.688720703125,1479.5524408444576,7003832
2022-08-18,1470.0069580078125,1493.8706778459875,1455.6887022104834,1455.6887022104834,10742546
2022-08-19,1532.0528564453125,1536.8255289897695,1474.7798301348098,1474.7798301348098,34519732
2022-08-22,1498.643310546875,1570.23458193532,1489.0978475191182,1532.0526103521854,32694464
2022-08-23,1479.55224609375,1512.9615454717098,1470.006783188093,1498.6432913771707,16365687
2022-08-24,1460.4613037109375,1493.8704832377048,1455.6885125762115,1484.3250204403578,14841965
2022-08-25,1455.688720703125,1479.5524408444576,1441.370464723901,1465.2341848652336,11168052
2022-08-26,1460.4613037109375,1493.8704832377048,1460.4613037109375,1470.0067665082845,14420560
2022-08-29,1465.234130859375,1470.006922500574,1393.6429730740967,1427.0521561461364,14262456
2022-08-30,1450.916015625,1479.5524074652797,1450.916015625,1465.23415180908,8128604
2022-08-31,1450.916015625,1465.23415180908,1446.1432239155604,1455.6886878623202,4523900
2022-09-01,1450.916015625,1460.4614795717598,1446.1432239155604,1450.916015625,3351656
2022-09-02,1441.370361328125,1460.4614077549807,1441.370361328125,1460.4614077549807,6175172
2022-09-05,1436.5977783203125,1446.143242389009,1431.8249865499038,1441.3704506186,5949705
2022-09-06,1441.370361328125,1446.1431528028675,1436.5976893254965,1441.370361328125,4650014
2022-09-07,1431.824951171875,1455.6886704900435,1431.824951171875,1441.3704150047188,8826332
2022-09-08,1436.5977783203125,1441.3704506186,1431.8249865499038,1436.5977783203125,5052963
2022-09-09,1417.5067138671875,1436.597761249851,1417.5067138671875,1436.597761249851,9968124
2022-09-12,1412.73388671875,1431.8249336225642,1412.73388671875,1417.506678312733,6502965
2022-09-13,1403.1883544921875,1422.2794004638808,1403.1883544921875,1412.7338177419786,12345935
2022-09-14,1398.415771484375,1407.9613556284953,1388.8703068123834,1398.415771484375,12205774
2022-09-15,1460.4613037109375,1479.5522293056315,1403.1882879826449,1403.1882879826449,31823766
2022-09-16,1465.234130859375,1489.0979695932524,1441.3704115976157,1465.234130859375,23170096
2022-09-19,1455.688720703125,1470.006976682349,1441.370464723901,1465.2341848652336,7906521
2022-09-20,1460.4613037109375,1470.0067665082845,1446.1430497788645,1465.2339753735585,7274721
2022-09-21,1446.1431884765625,1465.2341159022424,1436.5977247637225,1465.2341159022424,8294090
2022-09-22,1460.4613037109375,1465.2339753735585,1436.5975869815172,1446.1430497788645,11443759
2022-09-23,1503.4161376953125,1522.507064206678,1465.2340457283592,1470.006837092256,50591462
2022-09-26,1489.0980224609375,1517.7345343805825,1470.0069746904667,1508.1889507592862,24620611
2022-09-27,1479.55224609375,1498.6432913771707,1450.9158573767788,1484.325037282632,10595720
2022-09-28,1465.234130859375,1474.7797141417732,1450.9159948800138,1470.006922500574,9074151
2022-09-29,1436.5977783203125,1489.0980099063243,1436.5977783203125,1470.0069622968103,11364605
2022-09-30,1403.1883544921875,1431.824863713672,1336.3698727994272,1427.0520723527209,22908743
2022-10-03,1431.824951171875,1446.1432066571997,1403.1884402012256,1403.1884402012256,14332075
2022-10-04,1422.2794189453125,1450.9159285389067,1417.5066275223428,1441.370345692967,6875873
2022-10-05,1422.2794189453125,1436.5976737421097,1422.2794189453125,1422.2794189453125,4185546
2022-10-06,1422.2794189453125,1450.9159285389067,1417.5066275223428,1422.2794189453125,7884579
2022-10-07,1393.6429443359375,1422.2794546483856,1388.8701527931578,1422.2794546483856,10225376
2022-10-10,1379.3248291015625,1393.643085710263,1374.5520370746196,1393.643085710263,5654516
2022-10-11,1350.6881103515625,1388.8700823406164,1345.9153190508896,1379.3246192113802,9857185
2022-10-12,1312.5062255859375,1350.6882001123986,1298.1879702044998,1350.6882001123986,14071235
2022-10-13,1283.8697509765625,1312.5062625458359,1279.09695922431,1307.7334707935834,8551650
2022-10-14,1250.4603271484375,1312.506136059895,1245.6876553282473,1288.6422990705064,13017107
2022-10-17,1236.14208984375,1260.0059271632576,1207.5055806380294,1250.4603444466102,10056404
2022-10-18,1255.233154296875,1264.778617682034,1240.91489948308,1240.91489948308,11469597
