Price,Close,High,Low,Open,Volume
Ticker,CPIN.JK,CPIN.JK,CPIN.JK,CPIN.JK,CPIN.JK
Date,,,,,
2022-01-03,5564.33251953125,5657.850713136817,5564.33251953125,5564.33251953125,2671900
2022-01-04,5611.091796875,5681.230444335938,5587.712247721354,5587.712247721354,3986200
2022-01-05,5634.47021484375,5704.608848223547,5587.7111259238845,5611.090670383817,3209900
2022-01-06,5704.60986328125,5704.60986328125,5564.332571561219,5634.4712174212345,6556800
2022-01-07,5751.36865234375,5798.1277470782525,5681.230010241997,5704.6095576092475,9288200
2022-01-10,5681.23046875,5798.128215020576,5681.23046875,5774.74866576646,3864700
2022-01-11,5681.23046875,5774.74866576646,5657.850919495884,5681.23046875,4485500
2022-01-12,5751.36865234375,5751.36865234375,5681.230010241997,5727.989104976499,5019100
2022-01-13,5751.36865234375,5774.748199711001,5681.230010241997,5751.36865234375,4794000
2022-01-14,5774.74853515625,5798.128083881579,5681.230340254934,5751.368986430921,5102900
2022-01-17,5751.36865234375,5774.748199711001,5681.230010241997,5774.748199711001,2334800
2022-01-18,5798.12744140625,5798.12744140625,5727.988803002142,5751.368349136845,7963600
2022-01-19,5985.16455078125,6008.544099807739,5751.369060516357,5798.128158569336,13145600
2022-01-20,5985.16455078125,5985.16455078125,5868.266805648804,5985.16455078125,6124900
2022-01-21,6102.0615234375,6102.0615234375,5891.6456088362065,5985.163793103448,13641800
2022-01-24,6102.0615234375,6102.0615234375,6008.543339170258,6102.0615234375,3945100
2022-01-25,6078.6826171875,6102.062165715144,5891.646228966346,6102.062165715144,6924200
2022-01-26,6078.6826171875,6078.6826171875,5985.164423076923,6078.6826171875,2805700
2022-01-27,6008.5439453125,6055.30304216318,5985.1643968871595,6055.30304216318,2639600
2022-01-28,6055.302734375,6055.302734375,5985.164092664092,6008.543639901061,2348500
2022-01-31,5891.6455078125,6055.302327473958,5844.886416480655,6055.302327473958,2353700
2022-02-02,5727.98974609375,5844.88749601403,5681.230646125638,5798.128396045919,5802700
2022-02-03,5587.7119140625,5727.989200608003,5564.332366304917,5727.989200608003,6459000
2022-02-04,5587.7119140625,5681.2301050928345,5564.332366304917,5611.091461820084,3724200
2022-02-07,5681.23046875,5681.23046875,5587.712271733539,5611.0918209876545,5111200
2022-02-08,5517.5732421875,5727.98917091499,5517.5732421875,5704.609623278602,6946000
2022-02-09,5494.193359375,5587.711544215425,5470.813813164894,5540.952451795213,9900500
2022-02-10,5470.814453125,5564.332648904914,5470.814453125,5494.1940020699785,5168400
2022-02-11,5470.814453125,5517.573551014957,5400.6758062900635,5470.814453125,8102400
2022-02-14,5424.0556640625,5470.814764614764,5377.296563510237,5470.814764614764,6525600
2022-02-15,5470.814453125,5494.1940020699785,5424.055355235042,5424.055355235042,6722400
2022-02-16,5424.0556640625,5517.573865167026,5424.0556640625,5517.573865167026,5431700
2022-02-17,5400.67529296875,5470.813933137176,5400.67529296875,5424.054839691558,3536000
2022-02-18,5447.43505859375,5470.814608201448,5377.2964097706545,5400.675959378353,5351500
2022-02-21,5377.29541015625,5470.813591202445,5377.29541015625,5424.054500679347,7204900
2022-02-22,5611.091796875,5611.091796875,5377.296305338542,5400.675854492188,12436300
2022-02-23,5611.091796875,5611.091796875,5494.194051106771,5564.332698567709,9878700
2022-02-24,5447.43505859375,5611.091905847639,5377.2964097706545,5611.091905847639,10848900
2022-02-25,5424.0556640625,5587.71251599542,5424.0556640625,5447.435214338631,13852700
2022-03-01,5353.916015625,5470.813745223799,5283.77737786572,5424.05465338428,15520700
2022-03-02,5330.53662109375,5517.572993763706,5330.53662109375,5353.916167677495,14308300
2022-03-04,5330.53662109375,5424.054807428728,5307.157074510005,5330.53662109375,6784300
2022-03-07,5143.5009765625,5400.676025390625,5143.5009765625,5377.296475497159,11261900
2022-03-08,5049.982421875,5213.639259620949,5003.223325376158,5143.500614872685,11806800
2022-03-09,5166.88037109375,5260.398567855627,5073.362174331872,5073.362174331872,10170700
2022-03-10,5353.916015625,5353.916015625,5213.638740106441,5260.397831945961,7063500
2022-03-11,5400.67529296875,5400.67529296875,5283.777559354708,5353.916199523133,4679500
2022-03-14,5470.814453125,5470.814453125,5377.296257345085,5424.055355235042,7497300
2022-03-15,5307.1572265625,5494.193604591134,5260.398132055341,5494.193604591134,10866000
2022-03-16,5424.0556640625,5447.435214338631,5307.157912681843,5330.537462957975,6318300
2022-03-17,5400.67529296875,5470.813933137176,5307.157106077516,5447.434386414367,8350200
2022-03-18,5494.193359375,5494.193359375,5330.536535904255,5400.675174534575,13414100
2022-03-21,5377.29541015625,5494.193136463994,5330.536319633152,5494.193136463994,5543200
2022-03-22,5400.67529296875,5400.67529296875,5330.536652800325,5377.295746245942,5083300
2022-03-23,5307.1572265625,5424.054962830396,5283.777679308921,5400.675415576817,7231900
2022-03-24,5377.29541015625,5377.29541015625,5283.777229110054,5283.777229110054,5895500
2022-03-25,5260.3984375,5377.296180555556,5190.259791666666,5377.296180555556,14282600
2022-03-28,5330.53662109375,5353.916167677495,5213.638888175027,5283.777527926261,8442800
2022-03-29,5283.77783203125,5377.296023748618,5260.398284101909,5353.916475819276,5611900
2022-03-30,5307.1572265625,5307.1572265625,5237.018584801762,5283.777679308921,8084800
2022-03-31,5283.77783203125,5377.296023748618,5237.018736172567,5330.536927889934,11279600
2022-04-01,5307.1572265625,5307.1572265625,5237.018584801762,5283.777679308921,5733400
2022-04-04,5353.916015625,5353.916015625,5260.397831945961,5307.15692378548,7538500
2022-04-05,5283.77783203125,5377.296023748618,5283.77783203125,5353.916475819276,7252200
2022-04-06,5213.63916015625,5330.536899173207,5166.8800645494675,5260.3982557630325,12677700
2022-04-07,5190.259765625,5260.398411106419,5166.880217131194,5213.639314118806,6261300
2022-04-08,5143.5009765625,5213.639626242898,5143.5009765625,5190.260076349432,8454600
2022-04-11,5049.982421875,5190.259711371528,4933.084680627894,5166.880163122107,16411800
2022-04-12,4979.84375,5073.361942488263,4862.946009389671,5049.982394366197,11699600
2022-04-13,4886.32568359375,4979.843878495066,4839.566586143092,4979.843878495066,11179500
2022-04-14,4666.5576171875,4886.325360682302,4666.5576171875,4886.325360682302,19434100
2022-04-18,4675.9091796875,4769.42736328125,4657.20554296875,4666.557361328125,9857100
2022-04-19,4816.1865234375,4839.56606966778,4699.288792286105,4722.668338516383,10653000
2022-04-20,4699.2890625,4862.945895522388,4699.2890625,4816.186800373134,10036700
2022-04-21,4675.9091796875,4769.42736328125,4666.557361328125,4722.6682714843755,10079600
2022-04-22,4675.9091796875,4746.047817382812,4573.039177734375,4675.9091796875,11702100
2022-04-25,4601.09521484375,4699.289320038586,4591.743395301385,4675.9097711826735,7203000
2022-04-26,4699.2890625,4722.668610074627,4591.743143656717,4601.094962686568,11296800
2022-04-27,4722.66845703125,4746.0480038482365,4657.205725943688,4722.66845703125,11853100
2022-04-28,4816.1865234375,4909.704708358617,4722.668338516383,4769.427430976942,18224900
2022-05-09,4610.44677734375,4839.56634335779,4591.743139301787,4816.186795805337,14033700
2022-05-10,4746.04833984375,4816.18698526016,4488.873306650246,4591.7433199276475,14890000
2022-05-11,4746.04833984375,4839.566533732297,4746.04833984375,4746.04833984375,9794500
2022-05-12,4526.2802734375,4792.807107720493,4526.2802734375,4746.048013986635,10400900
2022-05-13,4722.66845703125,4816.186644299195,4535.632082495359,4535.632082495359,13971700
2022-05-17,4610.44677734375,4792.807248252884,4601.094958322768,4769.427700700431,9331900
2022-05-18,4629.15087890625,4657.206338778409,4601.095419034091,4629.15087890625,5724200
2022-05-19,4647.85400390625,4647.85400390625,4563.687633614185,4619.798547142228,5683700
2022-05-20,4816.1865234375,4816.1865234375,4629.1501535952675,4647.85379057949,7884500
2022-05-23,4638.5029296875,4839.567068776777,4601.095647996472,4816.187517719884,9550900
2022-05-24,4666.5576171875,4722.668530420216,4610.446703954784,4722.668530420216,7846100
2022-05-25,4563.68798828125,4675.909824058658,4544.9843489850155,4666.55800441054,10238700
2022-05-27,4601.09521484375,4629.150673470846,4573.0397562166545,4573.0397562166545,11725900
2022-05-30,4769.427734375,4769.427734375,4619.798628982843,4619.798628982843,15657500
2022-05-31,5049.982421875,5049.982421875,4746.048294632524,4839.566487630209,36522300
2022-06-02,5049.982421875,5073.3619701244215,4886.325584129051,5049.982421875,12516900
2022-06-03,5033.759765625,5105.329809686019,4962.189721563981,5057.616446978674,11293500
2022-06-06,5105.32958984375,5129.186270170123,4986.046188211887,5033.759548864632,9434600
2022-06-07,4962.189453125,5105.329533503606,4962.189453125,5105.329533503606,13813200
2022-06-08,4914.47607421875,4986.046114134557,4866.762714274879,4962.189434162621,14442800
2022-06-09,4723.623046875,4962.189867424242,4723.623046875,4938.333185369318,14796800
2022-06-10,4795.19287109375,4819.049552044465,4704.537483481032,4714.080155861318,6585200
2022-06-13,4795.19287109375,4795.19287109375,4685.4521387204595,4771.336190143034,6267900
2022-06-14,4842.90625,4842.90625,4733.165517241379,4771.336206896552,4979100
2022-06-15,4795.19287109375,4866.762913945895,4742.708173002176,4842.90623299518,5235600
2022-06-16,4914.47607421875,4938.332754190686,4819.049354331008,4866.762714274879,9597600
2022-06-17,4795.19287109375,4962.189637748756,4795.19287109375,4890.619594896611,13680700
2022-06-20,4938.33251953125,4962.189198369565,4752.250424592391,4795.192446501359,7415100
2022-06-21,5081.47314453125,5105.329825960974,4962.189737382629,4986.046418812353,14342600
2022-06-22,5200.75634765625,5272.326389137758,5057.616264693234,5081.47294518707,24630900
2022-06-23,5391.60986328125,5439.323224903208,5200.756416793419,5248.469778415377,23313500
2022-06-24,5487.0361328125,5534.749490489131,5367.752738620924,5415.466096297554,22888800
2022-06-27,5630.1767578125,5630.1767578125,5391.609946040784,5487.03667074947,14331200
2022-06-28,5510.89306640625,5654.033146053165,5439.323026582792,5630.176466112013,8946500
2022-06-29,5654.033203125,5725.6032436708865,5534.74980221519,5534.74980221519,16124500
2022-06-30,5725.603515625,5725.603515625,5463.180021158854,5654.033471679688,16045300
2022-07-01,5654.033203125,5725.6032436708865,5343.896360759493,5725.6032436708865,13033400
2022-07-04,5510.89306640625,5630.176466112013,5343.896306818182,5630.176466112013,11747400
2022-07-05,5320.0400390625,5510.893493378643,5320.0400390625,5487.036811589125,9419700
2022-07-06,5463.1796875,5463.1796875,5200.756209061135,5272.3262486353715,8729700
2022-07-07,5391.60986328125,5463.179905714187,5367.753182470271,5463.179905714187,4509500
2022-07-08,5487.0361328125,5487.0361328125,5391.609417459239,5391.609417459239,3871600
2022-07-11,5439.32275390625,5463.179432651453,5343.896038925438,5463.179432651453,1858000
2022-07-12,5343.896484375,5439.323207310268,5272.326442173549,5415.466526576451,4399300
2022-07-13,5391.60986328125,5439.323224903208,5343.896501659292,5367.753182470271,3038200
2022-07-14,5606.31982421875,5606.31982421875,5367.753023188165,5391.609703291224,10417600
2022-07-15,5343.896484375,5606.319972446987,5343.896484375,5510.893249511719,8485300
2022-07-18,5487.0361328125,5487.0361328125,5248.469344429348,5367.752738620924,5248400
2022-07-19,5534.75048828125,5534.75048828125,5367.753706307247,5487.037122002964,5438400
2022-07-20,5630.1767578125,5677.890120166843,5534.750033103814,5534.750033103814,11519700
2022-07-21,5725.603515625,5725.603515625,5534.750065104166,5630.176790364583,9758700
2022-07-22,5654.033203125,5773.316604034811,5654.033203125,5725.6032436708865,4113700
2022-07-25,5701.74658203125,5725.603262290795,5558.60650047398,5654.03322151216,2990100
2022-07-26,5582.46337890625,5701.746784438435,5582.46337890625,5701.746784438435,3000600
2022-07-27,5630.1767578125,5654.033438989672,5534.750033103814,5582.463395458157,3132400
2022-07-28,5487.0361328125,5654.032884680707,5487.0361328125,5630.176205842391,8625300
2022-07-29,5343.896484375,5534.749930245536,5343.896484375,5487.036568777902,16609700
2022-08-01,5606.31982421875,5606.31982421875,5343.896343085106,5343.896343085106,8064300
2022-08-02,5630.1767578125,5630.1767578125,5487.03667074947,5606.320076635328,4411800
2022-08-03,5630.1767578125,5630.1767578125,5391.609946040784,5630.1767578125,8153700
2022-08-04,5558.60693359375,5558.60693359375,5463.1802051200375,5558.60693359375,9302300
2022-08-05,5487.0361328125,5558.606169327446,5463.179453974185,5534.749490489131,5605600
2022-08-08,5582.46337890625,5582.46337890625,5439.323292267628,5487.036654480502,4403600
2022-08-09,5463.1796875,5654.0331263646285,5463.1796875,5582.463086790393,10679000
2022-08-10,5534.75048828125,5534.75048828125,5415.467072585534,5463.18043886382,5521600
2022-08-11,5391.60986328125,5534.749948147124,5391.60986328125,5534.749948147124,7383300
2022-08-12,5415.46630859375,5439.32298836729,5343.8962692731275,5391.609628820209,8393200
2022-08-15,5320.0400390625,5439.323448010089,5296.183357272982,5415.466766220571,6351100
2022-08-16,5439.32275390625,5439.32275390625,5320.039360180235,5343.896038925438,4470000
2022-08-18,5654.033203125,5701.746563488924,5391.609721123417,5463.179761669304,17745200
2022-08-19,5630.1767578125,5725.603482521186,5606.320076635328,5725.603482521186,9894300
2022-08-22,5677.89013671875,5677.89013671875,5558.606730485163,5630.176774225315,5872800
2022-08-23,5606.31982421875,5725.603224734043,5606.31982421875,5677.889864527926,4907700
2022-08-24,5606.31982421875,5654.033184424868,5582.463144115692,5606.31982421875,2598200
2022-08-25,5606.31982421875,5677.889864527926,5582.463144115692,5606.31982421875,4369300
2022-08-26,5606.31982421875,5701.746544630984,5606.31982421875,5654.033184424868,3412600
2022-08-29,5677.89013671875,5677.89013671875,5558.606730485163,5582.46341173188,2121700
2022-08-30,5606.31982421875,5701.746544630984,5606.31982421875,5677.889864527926,7010900
2022-08-31,5606.31982421875,5677.889864527926,5487.036423703457,5606.31982421875,9086000
2022-09-01,5606.31982421875,5677.889864527926,5606.31982421875,5606.31982421875,2228300
2022-09-02,5654.033203125,5654.033203125,5534.74980221519,5606.319842761076,7026200
2022-09-05,5606.31982421875,5654.033184424868,5582.463144115692,5630.176504321808,3487000
2022-09-06,5582.46337890625,5630.176741119124,5534.750016693376,5606.3200600126875,4864800
2022-09-07,5630.1767578125,5630.1767578125,5582.463395458157,5582.463395458157,5558700
2022-09-08,5558.60693359375,5654.0336620674625,5558.60693359375,5630.176979949034,5826000
2022-09-09,5606.31982421875,5630.176504321808,5510.893103806516,5558.606464012633,3440700
2022-09-12,5558.60693359375,5606.320297830606,5558.60693359375,5606.320297830606,3606100
2022-09-13,5463.1796875,5582.463086790393,5439.323007641921,5558.606406932315,7067100
2022-09-14,5343.896484375,5487.036568777902,5343.896484375,5439.323207310268,10485000
2022-09-15,5296.18310546875,5415.466508745073,5296.18310546875,5367.753147434544,11049700
2022-09-16,5248.47021484375,5439.323677201704,5248.47021484375,5272.326897638494,24470100
2022-09-19,5320.0400390625,5415.466766220571,5248.469993693946,5296.183357272982,7040900
2022-09-20,5296.18310546875,5439.3231894003375,5296.18310546875,5367.753147434544,6179400
2022-09-21,5367.75341796875,5415.466781684028,5320.040054253473,5320.040054253473,5632200
2022-09-22,5415.46630859375,5415.46630859375,5320.039589499587,5343.8962692731275,2770300
2022-09-23,5439.32275390625,5463.179432651453,5343.896038925438,5415.466075161047,5712300
2022-09-26,5391.60986328125,5439.323224903208,5343.896501659292,5439.323224903208,4591400
2022-09-27,5463.1796875,5463.1796875,5367.752968067685,5391.609647925764,3887700
2022-09-28,5367.75341796875,5463.180145399306,5367.75341796875,5463.180145399306,3591400
2022-09-29,5415.46630859375,5439.32298836729,5343.8962692731275,5367.752949046669,4444400
2022-09-30,5391.60986328125,5439.323224903208,5343.896501659292,5415.466544092229,7959100
2022-10-03,5367.75341796875,5415.466781684028,5343.896736111111,5367.75341796875,3342600
2022-10-04,5272.32666015625,5415.466750477234,5248.469978436086,5391.610068757071,6554200
2022-10-05,5272.32666015625,5343.896705316743,5248.469978436086,5272.32666015625,4809700
2022-10-06,5081.47314453125,5296.183277398767,5081.47314453125,5296.183277398767,9806800
2022-10-07,5057.61669921875,5153.043429392688,5009.903334131781,5057.61669921875,6906100
2022-10-10,5176.8994140625,5248.469452044931,5057.616017425115,5057.616017425115,7982400
2022-10-11,5272.32666015625,5320.040023596578,5176.899933275594,5224.613296715922,4543500
2022-10-12,5224.61279296875,5296.182831228596,5153.042754708905,5272.326151808647,4335900
2022-10-13,5224.61279296875,5296.182831228596,5153.042754708905,5224.61279296875,7086000
2022-10-14,5057.61669921875,5272.326842110112,5057.61669921875,5224.613477023143,4920900
2022-10-17,5105.32958984375,5153.042950496496,5033.759548864632,5033.759548864632,3986000
2022-10-18,5200.75634765625,5200.75634765625,5081.47294518707,5129.186306174743,3154600
2022-10-19,5248.47021484375,5248.47021484375,5105.330118075284,5153.043483664773,3247400
2022-10-20,5153.04296875,5320.039731626158,5153.04296875,5248.469690393518,8284200
2022-10-21,5296.18310546875,5343.896466779279,5176.899702192427,5176.899702192427,10952400
2022-10-24,5248.47021484375,5367.7536288174715,5248.47021484375,5296.183580433239,5286600
2022-10-25,5296.18310546875,5367.753147434544,5176.899702192427,5296.18310546875,12765100
2022-10-26,5415.46630859375,5415.46630859375,5272.326229952505,5320.039589499587,6105500
2022-10-27,5463.1796875,5487.036367358079,5367.752968067685,5391.609647925764,6024300
2022-10-28,5391.60986328125,5439.323224903208,5320.039820848313,5367.753182470271,6627800
2022-10-31,5320.0400390625,5391.610084431054,5272.326675483464,5391.610084431054,9517000
2022-11-01,5582.46337890625,5582.46337890625,5320.039886735443,5343.896567841881,14942800
2022-11-02,5534.75048828125,5606.32053769868,5439.323755724677,5582.463854559537,8535500
2022-11-03,5487.0361328125,5534.749490489131,5415.466096297554,5534.749490489131,5290100
2022-11-04,5534.75048828125,5534.75048828125,5367.753706307247,5487.037122002964,6920400
2022-11-07,5630.1767578125,5630.1767578125,5439.323308395127,5534.750033103814,9029200
2022-11-08,5630.1767578125,5654.033438989672,5487.03667074947,5630.1767578125,8134900
2022-11-09,5654.033203125,5654.033203125,5487.036441851266,5630.176522943038,14493500
2022-11-10,5391.60986328125,5654.033352202019,5343.896501659292,5630.17667139104,12741900
2022-11-11,5463.1796875,5510.893047216157,5367.752968067685,5463.1796875,9117600
2022-11-14,5534.75048828125,5534.75048828125,5415.467072585534,5463.18043886382,2095700
2022-11-15,5558.60693359375,5582.463615712178,5463.1802051200375,5534.750251475321,5232500
2022-11-16,5606.31982421875,5606.31982421875,5463.179743600399,5487.036423703457,4024300
2022-11-17,5487.0361328125,5582.462848165761,5487.0361328125,5582.462848165761,3969400
2022-11-18,5582.46337890625,5606.3200600126875,5439.323292267628,5487.036654480502,5551000
2022-11-21,5582.46337890625,5606.3200600126875,5534.750016693376,5582.46337890625,2299500
2022-11-22,5463.1796875,5606.319766648472,5463.1796875,5582.463086790393,3199500
2022-11-23,5463.1796875,5558.606406932315,5391.609647925764,5463.1796875,2908900
2022-11-24,5534.75048828125,5558.607171420394,5415.467072585534,5463.18043886382,6547900
2022-11-25,5606.31982421875,5606.31982421875,5439.323063497341,5487.036423703457,7523700
2022-11-28,5534.75048828125,5606.32053769868,5487.037122002964,5606.32053769868,5959200
2022-11-29,5558.60693359375,5558.60693359375,5415.466840883181,5510.893569356894,13220100
2022-11-30,5439.32275390625,5606.319505122669,5439.32275390625,5558.606147632264,61105100
2022-12-01,5415.46630859375,5510.893027687913,5343.8962692731275,5510.893027687913,32048500
2022-12-02,5463.1796875,5534.749727074236,5391.609647925764,5391.609647925764,6800100
2022-12-05,5463.1796875,5534.749727074236,5367.752968067685,5463.1796875,8268300
2022-12-06,5343.896484375,5487.036568777902,5296.183122907366,5463.179888044085,4540300
2022-12-07,5367.75341796875,5439.323463541667,5272.326690538194,5343.896736111111,13089700
2022-12-08,5463.1796875,5463.1796875,5272.3262486353715,5343.896288209607,7585600
2022-12-09,5463.1796875,5510.893047216157,5391.609647925764,5510.893047216157,4822400
2022-12-12,5558.60693359375,5558.60693359375,5415.466840883181,5463.1802051200375,5963300
2022-12-13,5606.31982421875,5606.31982421875,5510.893103806516,5558.606464012633,5738300
2022-12-14,5630.1767578125,5677.890120166843,5582.463395458157,5606.320076635328,4376400
2022-12-15,5463.1796875,5630.17644650655,5463.1796875,5630.17644650655,9861900
2022-12-16,5725.603515625,5725.603515625,5487.036702473958,5510.893383789063,31483700
2022-12-19,5725.603515625,5749.460196940104,5677.890152994792,5725.603515625,3641400
2022-12-20,5654.033203125,5725.6032436708865,5582.463162579114,5725.6032436708865,2017800
2022-12-21,5677.89013671875,5701.746817965468,5606.320092978598,5606.320092978598,2322400
2022-12-22,5606.31982421875,5725.603224734043,5606.31982421875,5701.746544630984,2123800
2022-12-23,5582.46337890625,5677.890103331998,5558.606697799813,5677.890103331998,1599800
2022-12-26,5558.60693359375,5654.0336620674625,5558.60693359375,5582.463615712178,906200
2022-12-27,5725.603515625,5725.603515625,5558.606746419271,5558.606746419271,2465000
2022-12-28,5582.46337890625,5725.603465544872,5582.46337890625,5725.603465544872,1936800
2022-12-29,5582.46337890625,5606.3200600126875,5487.036654480502,5558.606697799813,3400800
2022-12-30,5391.60986328125,5582.463309769082,5391.60986328125,5582.463309769082,3676500
2023-01-02,5415.46630859375,5439.32298836729,5367.752949046669,5391.609628820209,1200800
2023-01-03,5510.89306640625,5534.749746347403,5391.609666700487,5415.46634664164,3067800
2023-01-04,5415.46630859375,5534.749707461454,5415.46630859375,5510.893027687913,3019400
2023-01-05,5582.46337890625,5630.176741119124,5415.466611161191,5463.179973374065,6953900
2023-01-06,5725.603515625,5725.603515625,5510.893383789063,5582.463427734375,4616700
2023-01-09,5964.169921875,5964.169921875,5654.0330859375,5725.603125,9867500
2023-01-10,5964.169921875,5988.026601562499,5844.8865234375,5964.169921875,7075700
2023-01-11,5940.3134765625,5988.02683782003,5844.886754047439,5964.1701571912645,3482600
2023-01-12,5940.3134765625,5964.1701571912645,5844.886754047439,5940.3134765625,8266600
2023-01-13,5916.45654296875,5964.16990218624,5797.173144925026,5940.313222577495,5271400
2023-01-16,5892.6005859375,5916.45726847166,5797.173855800861,5868.7439034033405,3345200
2023-01-17,5844.88720703125,5892.600571986607,5773.317159598214,5868.743889508928,9452100
2023-01-18,5844.88720703125,5868.743889508928,5749.460477120536,5821.030524553571,7325500
2023-01-19,5773.31640625,5844.886444344009,5725.603047520662,5844.886444344009,9063100
2023-01-20,5677.89013671875,5797.173542952337,5654.033455472033,5773.31686170562,10717100
2023-01-24,5701.74658203125,5701.74658203125,5534.749820214435,5677.889901771705,17113200
2023-01-25,5606.31982421875,5701.746544630984,5558.606464012633,5701.746544630984,2358000
2023-01-26,5677.89013671875,5701.746817965468,5558.606730485163,5606.320092978598,10838800
2023-01-27,5582.46337890625,5677.890103331998,5558.606697799813,5630.176741119124,6386800
2023-01-30,5606.31982421875,5654.033184424868,5534.749783909575,5582.463144115692,3916100
2023-01-31,5558.60693359375,5630.176979949034,5487.036887238465,5582.463615712178,18118900
2023-02-01,5606.31982421875,5606.31982421875,5487.036423703457,5558.606464012633,18095800
2023-02-02,5534.75048828125,5630.177220837823,5487.037122002964,5582.463854559537,25946200
2023-02-03,5558.60693359375,5582.463615712178,5510.893569356894,5582.463615712178,3380500
2023-02-06,5534.75048828125,5582.463854559537,5463.18043886382,5558.607171420394,7940400
2023-02-07,5582.46337890625,5582.46337890625,5510.893335586939,5558.606697799813,4659300
2023-02-08,5487.0361328125,5582.462848165761,5463.179453974185,5582.462848165761,6480400
2023-02-09,5534.75048828125,5582.463854559537,5463.18043886382,5487.037122002964,12178800
2023-02-10,5582.46337890625,5582.46337890625,5487.036654480502,5534.750016693376,5091800
2023-02-13,5487.0361328125,5582.462848165761,5487.0361328125,5582.462848165761,6913100
2023-02-14,5558.60693359375,5558.60693359375,5439.323523001609,5487.036887238465,8872300
2023-02-15,5558.60693359375,5582.463615712178,5463.1802051200375,5558.60693359375,8365100
2023-02-16,5534.75048828125,5582.463854559537,5463.18043886382,5558.607171420394,6465100
2023-02-17,5534.75048828125,5558.607171420394,5463.18043886382,5534.75048828125,10776400
2023-02-20,5630.1767578125,5630.1767578125,5510.893351926642,5558.606714280985,3000900
2023-02-21,5582.46337890625,5701.746784438435,5582.46337890625,5630.176741119124,5048100
2023-02-22,5463.1796875,5582.463086790393,5439.323007641921,5558.606406932315,4970900
