Price,Close,High,Low,Open,Volume
Ticker,CTRA.JK,CTRA.JK,CTRA.JK,CTRA.JK,CTRA.JK
Date,,,,,
2022-01-03,923.4260864257812,928.0664185183731,900.2244259628219,904.8647580554137,12296200
2022-01-04,937.3471069335938,960.5487679963064,923.4261102959662,928.0664425085087,27472500
2022-01-05,904.86474609375,946.627734375,904.86474609375,946.627734375,25474700
2022-01-06,886.303466796875,918.7857928051374,872.3824699361911,904.8647959444535,30444000
2022-01-07,881.6630859375,900.2244140625,872.382421875,890.94375,30514200
2022-01-10,886.303466796875,900.2244636575589,881.6631345099803,886.303466796875,20365900
2022-01-11,872.3824462890625,900.2244392557348,872.3824462890625,886.3034427723986,21551800
2022-01-12,863.1017456054688,886.3034054335727,853.8210816742271,886.3034054335727,17405000
2022-01-13,872.3824462890625,881.6631106112866,853.8211176446143,863.1017819668384,25166500
2022-01-14,877.0227661132812,881.6630982091187,863.1017698257689,872.3824340174439,7174700
2022-01-17,858.4614868164062,886.3034809834248,853.8211544552364,877.0228162610853,17334800
2022-01-18,863.1017456054688,872.3824095367104,839.9000857773648,863.1017456054688,12352000
2022-01-19,853.821044921875,881.6630355171535,849.1807131559952,881.6630355171535,7404300
2022-01-20,844.5404052734375,867.7420647589715,844.5404052734375,853.8210690676511,10388300
2022-01-21,867.7421264648438,877.0227909190132,839.9001331023354,844.54046532942,19217700
2022-01-24,867.7421264648438,872.3824586919285,853.8211297835895,867.7421264648438,18862800
2022-01-25,858.4614868164062,872.3824838999155,849.1808220940667,872.3824838999155,28277900
2022-01-26,821.3388671875,881.6631907662429,816.6985346045198,867.7421930173023,32068600
2022-01-27,802.7774658203125,825.9791266821712,798.1371336479407,825.9791266821712,19424100
2022-01-28,816.6984252929688,821.3387572548606,802.7774294072932,802.7774294072932,12896300
2022-01-31,812.05810546875,830.61943359375,812.05810546875,821.33876953125,7384000
2022-02-02,830.6194458007812,844.5404420991184,812.0581174029984,816.6984495024442,13419100
2022-02-03,881.6630859375,886.3034179687501,835.259765625,835.259765625,34144100
2022-02-04,877.0227661132812,890.9437624007937,872.3824340174439,881.6630982091187,23906200
2022-02-07,877.0227661132812,900.2244265924686,863.1017698257689,877.0227661132812,25790600
2022-02-08,886.303466796875,890.9437990837696,877.0228022230857,881.6631345099803,12173300
2022-02-09,872.3824462890625,890.9437749335107,867.7421141279505,886.3034427723986,13409000
2022-02-10,877.0227661132812,895.5840944966312,867.7421019216064,872.3824340174439,10181000
2022-02-11,890.9437866210938,895.5841188430786,872.3824577331543,872.3824577331543,18101700
2022-02-14,881.6630859375,895.58408203125,867.74208984375,890.94375,14284400
2022-02-15,886.303466796875,895.5841313706643,872.3824699361911,881.6631345099803,14143500
2022-02-16,904.86474609375,918.7857421875,886.3034179687501,890.94375,36543000
2022-02-17,904.86474609375,918.7857421875,895.58408203125,909.5050781250001,21082400
2022-02-18,937.3471069335938,937.3471069335938,900.2244492332534,918.7857780834236,30032900
2022-02-21,909.5050659179688,946.6277216697226,909.5050659179688,937.3470577317842,18375800
2022-02-22,881.6630859375,918.7857421875,872.382421875,909.5050781250001,21773900
2022-02-23,886.303466796875,895.5841313706643,872.3824699361911,886.303466796875,20534200
2022-02-24,849.1807861328125,890.943775614754,835.259789638832,890.943775614754,61163600
2022-02-25,858.4614868164062,881.663148622255,839.9001573717271,863.101819177576,51699800
2022-03-01,844.5404052734375,877.0227285531852,844.5404052734375,858.4614009647579,23503400
2022-03-02,844.5404052734375,858.4614009647579,835.259741479224,844.5404052734375,26071200
2022-03-04,853.821044921875,863.1017084536345,844.5403813901155,844.5403813901155,23418100
2022-03-07,830.6194458007812,853.8211062980098,825.9791137013356,853.8211062980098,19174600
2022-03-08,918.7857055664062,928.0663692589962,825.9790686405066,835.2597323330966,72294900
2022-03-09,979.1099853515625,993.0309804039543,918.7856734578644,941.9873318785175,103392600
2022-03-10,979.1099853515625,997.6713120880851,946.6276635626481,979.1099853515625,30709500
2022-03-11,988.3907470703125,993.0310792161825,951.2680899033525,979.1100827785725,18682100
2022-03-14,969.8294067382812,1002.3117313658792,960.5487425589675,993.0310671865655,34154100
2022-03-15,965.1890258789062,988.3906851548415,941.987366602971,969.8293577340933,27273700
2022-03-16,969.8294067382812,983.7504030072517,946.6277462899969,965.1890746486243,21989100
2022-03-17,993.031005859375,1002.3116694655374,965.1890150408879,979.1100104501315,36235900
2022-03-18,969.8294067382812,1002.3117313658792,955.9084104693106,1002.3117313658792,18797500
2022-03-21,993.031005859375,997.6713376624563,960.5486832378067,960.5486832378067,13256100
2022-03-22,988.3907470703125,1016.2327399455327,983.7504149244426,1002.3117435079225,27095900
2022-03-23,997.6713256835938,1011.5923209256905,988.3906621888627,988.3906621888627,25358800
2022-03-24,1039.4344482421875,1048.7151129586357,979.1101275852749,1011.5924540928432,54781300
2022-03-25,997.6713256835938,1057.995638399346,997.6713256835938,1057.995638399346,42044500
2022-03-28,988.3907470703125,1016.2327399455327,979.1100827785725,1002.3117435079225,27768500
2022-03-29,1006.9520263671875,1016.2326902046731,988.3906986922162,988.3906986922162,33082800
2022-03-30,979.1099853515625,1020.8729705087381,979.1099853515625,1020.8729705087381,19355500
2022-03-31,965.1890258789062,988.3906851548415,960.5486940237192,988.3906851548415,33190700
2022-04-01,974.4697265625,983.750390625,955.9083984375001,965.1890625,44699700
2022-04-04,969.8294067382812,983.7504030072517,951.2680783796538,974.469738827938,29928000
2022-04-05,955.9083251953125,983.7503152495449,955.9083251953125,969.8293202224287,25119700
2022-04-06,909.5050659179688,969.8293815145688,909.5050659179688,960.5487175766303,112223400
2022-04-07,928.06640625,932.7067382812501,909.5050781250001,909.5050781250001,29171300
2022-04-08,918.7857055664062,941.9873647978811,909.5050418738163,928.0663692589962,44513600
2022-04-11,886.303466796875,937.347121952716,886.303466796875,928.0664573789267,54265800
2022-04-12,914.1453857421875,918.7857176495082,881.6630623909423,886.303394298263,34728100
2022-04-13,909.5050659179688,923.4260618248765,890.9437380420919,914.145397886938,37878000
2022-04-14,895.5841064453125,918.7857672340511,890.9437742875648,909.5051029185556,43206300
2022-04-18,932.706787109375,960.5487807544309,900.2244611901431,904.8647934643191,60889100
2022-04-19,918.7857055664062,965.1890240293561,918.7857055664062,955.9083603367661,20964600
2022-04-20,965.1890258789062,969.8293577340933,928.0663710374099,932.7067028925969,35330700
2022-04-21,955.9083251953125,979.1099835738395,951.2679935196071,965.1889885467233,50571200
2022-04-22,955.9083251953125,965.1889885467233,937.3469984924909,937.3469984924909,45491900
