Price,Close,High,Low,Open,Volume
Ticker,DEWA.JK,DEWA.JK,DEWA.JK,DEWA.JK,DEWA.JK
Date,,,,,
2022-01-03,50.0,50.0,50.0,50.0,25500
2022-01-04,50.0,50.0,50.0,50.0,7200
2022-01-05,50.0,50.0,50.0,50.0,41800
2022-01-06,50.0,50.0,50.0,50.0,19000
2022-01-07,50.0,50.0,50.0,50.0,219800
2022-01-10,50.0,50.0,50.0,50.0,157800
2022-01-11,50.0,50.0,50.0,50.0,6200
2022-01-12,50.0,50.0,50.0,50.0,7300
2022-01-13,50.0,50.0,50.0,50.0,37200
2022-01-14,50.0,50.0,50.0,50.0,6400
2022-01-17,50.0,50.0,50.0,50.0,16000
2022-01-18,50.0,50.0,50.0,50.0,119900
2022-01-19,50.0,50.0,50.0,50.0,87500
2022-01-20,50.0,50.0,50.0,50.0,114800
2022-01-21,50.0,50.0,50.0,50.0,476700
2022-01-24,50.0,50.0,50.0,50.0,26500
2022-01-25,50.0,50.0,50.0,50.0,75300
2022-01-26,50.0,50.0,50.0,50.0,13000
2022-01-27,50.0,50.0,50.0,50.0,21800
2022-01-28,50.0,50.0,50.0,50.0,38600
2022-01-31,50.0,50.0,50.0,50.0,33900
2022-02-02,50.0,50.0,50.0,50.0,54000
2022-02-03,50.0,50.0,50.0,50.0,12900
2022-02-04,50.0,50.0,50.0,50.0,208600
2022-02-07,50.0,50.0,50.0,50.0,14000
2022-02-08,50.0,50.0,50.0,50.0,1418200
2022-02-09,50.0,50.0,50.0,50.0,535600
2022-02-10,50.0,50.0,50.0,50.0,1053100
2022-02-11,50.0,50.0,50.0,50.0,503400
2022-02-14,50.0,50.0,50.0,50.0,135000
2022-02-15,50.0,50.0,50.0,50.0,1893200
2022-02-16,50.0,50.0,50.0,50.0,677500
2022-02-17,50.0,50.0,50.0,50.0,85700
2022-02-18,50.0,50.0,50.0,50.0,69400
2022-02-21,50.0,50.0,50.0,50.0,17800
2022-02-22,50.0,50.0,50.0,50.0,15500
2022-02-23,50.0,50.0,50.0,50.0,251600
2022-02-24,50.0,50.0,50.0,50.0,22700
2022-02-25,50.0,50.0,50.0,50.0,63300
2022-03-01,50.0,50.0,50.0,50.0,213900
2022-03-02,50.0,50.0,50.0,50.0,106400
2022-03-04,50.0,50.0,50.0,50.0,506000
