Price,Close,High,Low,Open,Volume
Ticker,DSSA.JK,DSSA.JK,DSSA.JK,DSSA.JK,DSSA.JK
Date,,,,,
2022-01-03,4995.0,5000.0,4900.0,4900.0,77000
2022-01-04,4995.0,4995.0,4995.0,4995.0,0
2022-01-05,4995.0,4995.0,4995.0,4995.0,0
2022-01-06,4995.0,4995.0,4995.0,4995.0,0
2022-01-07,4995.0,4995.0,4995.0,4995.0,0
2022-01-10,4995.0,4995.0,4995.0,4995.0,0
2022-01-11,4995.0,4995.0,4995.0,4995.0,0
2022-01-12,4647.5,4647.5,4647.5,4647.5,5000
2022-01-13,4600.0,4600.0,4437.5,4437.5,17000
2022-01-14,4602.5,4602.5,4602.5,4602.5,5000
2022-01-17,4602.5,4602.5,4602.5,4602.5,6000
2022-01-18,4602.5,4602.5,4602.5,4602.5,0
2022-01-19,4602.5,4602.5,4602.5,4602.5,1000
2022-01-20,4602.5,4602.5,4602.5,4602.5,0
2022-01-21,4602.5,4602.5,4602.5,4602.5,15000
2022-01-24,4602.5,4602.5,4602.5,4602.5,0
2022-01-25,4602.5,4602.5,4602.5,4602.5,0
2022-01-26,4602.5,4602.5,4602.5,4602.5,0
2022-01-27,4600.0,4600.0,4600.0,4600.0,10000
2022-01-28,4600.0,4600.0,4600.0,4600.0,1000
2022-01-31,4600.0,4600.0,4600.0,4600.0,2000
2022-02-02,4600.0,4600.0,4600.0,4600.0,4000
2022-02-03,4600.0,4600.0,4600.0,4600.0,0
2022-02-04,4600.0,4600.0,4600.0,4600.0,0
2022-02-07,4600.0,4600.0,4600.0,4600.0,0
2022-02-08,4600.0,4600.0,4600.0,4600.0,0
2022-02-09,4600.0,4600.0,4600.0,4600.0,0
2022-02-10,4600.0,4600.0,4600.0,4600.0,0
2022-02-11,4600.0,4600.0,4600.0,4600.0,0
2022-02-14,4600.0,4600.0,4600.0,4600.0,0
2022-02-15,4600.0,4600.0,4600.0,4600.0,0
2022-02-16,4600.0,4600.0,4600.0,4600.0,0
2022-02-17,4650.0,4652.5,4600.0,4600.0,3000
2022-02-18,4650.0,4650.0,4650.0,4650.0,1000
2022-02-21,4650.0,4650.0,4650.0,4650.0,0
2022-02-22,4650.0,4650.0,4650.0,4650.0,0
2022-02-23,4650.0,4650.0,4650.0,4650.0,1000
2022-02-24,4650.0,4650.0,4650.0,4650.0,0
2022-02-25,4650.0,4650.0,4650.0,4650.0,0
2022-03-01,4650.0,4650.0,4650.0,4650.0,0
2022-03-02,4720.0,4720.0,4650.0,4650.0,7000
2022-03-04,5440.0,5640.0,4740.0,4740.0,27000
2022-03-07,5060.0,5440.0,5060.0,5440.0,8000
2022-03-08,4707.5,4707.5,4707.5,4707.5,3000
2022-03-09,4400.0,4400.0,4380.0,4382.5,23000
2022-03-10,4400.0,4400.0,4400.0,4400.0,2000
2022-03-11,4400.0,4400.0,4400.0,4400.0,0
2022-03-14,4400.0,4400.0,4400.0,4400.0,1000
2022-03-15,4400.0,4400.0,4400.0,4400.0,0
2022-03-16,4400.0,4400.0,4400.0,4400.0,0
2022-03-17,4400.0,4400.0,4400.0,4400.0,0
2022-03-18,4400.0,4400.0,4400.0,4400.0,2000
2022-03-21,4400.0,4400.0,4400.0,4400.0,0
2022-03-22,4400.0,4400.0,4400.0,4400.0,0
2022-03-23,4400.0,4400.0,4400.0,4400.0,2000
2022-03-24,4400.0,4400.0,4400.0,4400.0,0
2022-03-25,4400.0,4400.0,4400.0,4400.0,0
2022-03-28,4400.0,4400.0,4400.0,4400.0,1000
2022-03-29,4400.0,4400.0,4400.0,4400.0,0
2022-03-30,4400.0,4400.0,4400.0,4400.0,0
2022-03-31,4400.0,4400.0,4400.0,4400.0,0
2022-04-01,4400.0,4400.0,4400.0,4400.0,0
2022-04-04,4400.0,4400.0,4400.0,4400.0,0
2022-04-05,4100.0,4100.0,4100.0,4100.0,2000
2022-04-06,3815.0,3815.0,3815.0,3815.0,8000
2022-04-07,3815.0,3815.0,3815.0,3815.0,0
2022-04-08,3815.0,3815.0,3815.0,3815.0,0
2022-04-11,3815.0,3815.0,3815.0,3815.0,0
2022-04-12,3557.5,3557.5,3557.5,3557.5,2000
2022-04-13,3557.5,3557.5,3557.5,3557.5,0
2022-04-14,3557.5,3557.5,3557.5,3557.5,0
2022-04-18,3557.5,3557.5,3557.5,3557.5,0
2022-04-19,3512.5,3512.5,3512.5,3512.5,3000
2022-04-20,3330.0,3330.0,3310.0,3330.0,5000
2022-04-21,3330.0,3330.0,3330.0,3330.0,0
2022-04-22,3330.0,3330.0,3330.0,3330.0,0
2022-04-25,3097.5,3100.0,3097.5,3100.0,10000
2022-04-26,3097.5,3097.5,3097.5,3097.5,1000
2022-04-27,3000.0,3000.0,3000.0,3000.0,6000
2022-04-28,3000.0,3000.0,3000.0,3000.0,0
2022-05-09,2900.0,3000.0,2900.0,3000.0,7000
2022-05-10,2750.0,2875.0,2750.0,2875.0,7000
2022-05-11,2775.0,2775.0,2750.0,2750.0,2000
2022-05-12,2775.0,2775.0,2775.0,2775.0,0
2022-05-13,2750.0,2750.0,2750.0,2750.0,4000
2022-05-17,2885.0,2925.0,2800.0,2800.0,16000
2022-05-18,3300.0,3300.0,2985.0,2997.5,23000
2022-05-19,3960.0,3960.0,3325.0,3325.0,39000
2022-05-20,4130.0,4600.0,4125.0,4125.0,52000
2022-05-23,3842.5,4155.0,3842.5,4155.0,17000
2022-05-24,3575.0,3842.5,3575.0,3842.5,11000
2022-05-25,3575.0,3575.0,3575.0,3575.0,3000
2022-05-27,3342.5,3342.5,3325.0,3325.0,10000
2022-05-30,3350.0,3350.0,3350.0,3350.0,1000
2022-05-31,3392.5,3392.5,3392.5,3392.5,1000
2022-06-02,3392.5,3392.5,3392.5,3392.5,0
2022-06-03,3620.0,3620.0,3395.0,3395.0,10000
2022-06-06,3822.5,3870.0,3630.0,3630.0,18000
2022-06-07,3675.0,3850.0,3675.0,3850.0,11000
2022-06-08,3675.0,3675.0,3675.0,3675.0,1000
2022-06-09,3675.0,3675.0,3675.0,3675.0,1000
2022-06-10,3675.0,3675.0,3675.0,3675.0,0
2022-06-13,3675.0,3675.0,3675.0,3675.0,0
2022-06-14,3675.0,3675.0,3675.0,3675.0,0
2022-06-15,3675.0,3675.0,3675.0,3675.0,0
2022-06-16,3675.0,3675.0,3675.0,3675.0,2000
2022-06-17,3675.0,3675.0,3675.0,3675.0,0
2022-06-20,3675.0,3675.0,3675.0,3675.0,0
2022-06-21,3675.0,3675.0,3675.0,3675.0,0
2022-06-22,3675.0,3675.0,3675.0,3675.0,0
2022-06-23,3675.0,3675.0,3675.0,3675.0,0
2022-06-24,3505.0,3530.0,3505.0,3530.0,2000
2022-06-27,3505.0,3505.0,3505.0,3505.0,3000
2022-06-28,3505.0,3505.0,3505.0,3505.0,0
2022-06-29,3505.0,3505.0,3505.0,3505.0,0
2022-06-30,3505.0,3505.0,3505.0,3505.0,0
2022-07-01,3505.0,3505.0,3505.0,3505.0,4000
2022-07-04,3505.0,3505.0,3505.0,3505.0,0
2022-07-05,3505.0,3505.0,3505.0,3505.0,6000
2022-07-06,3505.0,3505.0,3505.0,3505.0,0
2022-07-07,3505.0,3505.0,3505.0,3505.0,0
2022-07-08,3505.0,3505.0,3505.0,3505.0,0
2022-07-11,3505.0,3505.0,3505.0,3505.0,0
2022-07-12,3505.0,3505.0,3505.0,3505.0,0
2022-07-13,3260.0,3260.0,3260.0,3260.0,6000
2022-07-14,3260.0,3260.0,3260.0,3260.0,0
2022-07-15,3260.0,3260.0,3260.0,3260.0,0
2022-07-18,3260.0,3260.0,3260.0,3260.0,0
2022-07-19,3260.0,3260.0,3260.0,3260.0,2000
2022-07-20,3260.0,3260.0,3260.0,3260.0,0
2022-07-21,3260.0,3260.0,3260.0,3260.0,0
2022-07-22,3260.0,3260.0,3260.0,3260.0,0
2022-07-25,3260.0,3260.0,3260.0,3260.0,0
2022-07-26,3260.0,3260.0,3260.0,3260.0,0
2022-07-27,3260.0,3260.0,3260.0,3260.0,1000
2022-07-28,3300.0,3300.0,3300.0,3300.0,3000
2022-07-29,3300.0,3300.0,3300.0,3300.0,3000
2022-08-01,3300.0,3300.0,3300.0,3300.0,1000
2022-08-02,3300.0,3300.0,3300.0,3300.0,0
2022-08-03,3300.0,3305.0,3300.0,3305.0,5000
2022-08-04,3300.0,3300.0,3300.0,3300.0,5000
2022-08-05,3300.0,3300.0,3300.0,3300.0,0
2022-08-08,3300.0,3300.0,3300.0,3300.0,2000
2022-08-09,3300.0,3300.0,3300.0,3300.0,0
2022-08-10,3300.0,3300.0,3300.0,3300.0,0
2022-08-11,3300.0,3300.0,3300.0,3300.0,0
2022-08-12,3300.0,3300.0,3300.0,3300.0,1000
2022-08-15,3320.0,3320.0,3320.0,3320.0,3000
2022-08-16,3287.5,3320.0,3270.0,3320.0,14000
2022-08-18,3287.5,3287.5,3287.5,3287.5,0
2022-08-19,3320.0,3320.0,3312.5,3312.5,8000
2022-08-22,3300.0,3320.0,3300.0,3320.0,20000
2022-08-23,3275.0,3300.0,3275.0,3300.0,14000
2022-08-24,3275.0,3275.0,3275.0,3275.0,0
2022-08-25,3275.0,3275.0,3275.0,3275.0,0
2022-08-26,3275.0,3275.0,3275.0,3275.0,0
2022-08-29,3180.0,3180.0,3170.0,3170.0,2000
2022-08-30,3185.0,3185.0,3185.0,3185.0,1000
2022-08-31,3185.0,3185.0,3185.0,3185.0,0
2022-09-01,3185.0,3185.0,3185.0,3185.0,0
2022-09-02,3185.0,3185.0,3185.0,3185.0,0
2022-09-05,3390.0,3390.0,3200.0,3200.0,4000
2022-09-06,3400.0,3400.0,3390.0,3390.0,6000
2022-09-07,3470.0,3470.0,3450.0,3450.0,2000
2022-09-08,3600.0,3600.0,3600.0,3600.0,12000
2022-09-09,3600.0,3600.0,3600.0,3600.0,0
2022-09-12,3600.0,3600.0,3600.0,3600.0,20000
2022-09-13,3600.0,3600.0,3600.0,3600.0,3000
2022-09-14,3602.5,3602.5,3600.0,3600.0,2000
2022-09-15,3602.5,3602.5,3602.5,3602.5,2000
2022-09-16,4020.0,4057.5,3620.0,3620.0,36000
2022-09-19,3800.0,4020.0,3800.0,4017.5,38000
2022-09-20,3800.0,3800.0,3800.0,3800.0,2000
2022-09-21,3800.0,3800.0,3800.0,3800.0,6000
2022-09-22,3800.0,3800.0,3800.0,3800.0,0
2022-09-23,3800.0,3800.0,3800.0,3800.0,3000
2022-09-26,3800.0,3800.0,3600.0,3800.0,23000
2022-09-27,3800.0,3800.0,3800.0,3800.0,0
2022-09-28,3800.0,3800.0,3800.0,3800.0,0
2022-09-29,3800.0,3800.0,3800.0,3800.0,2000
