Price,Close,High,Low,Open,Volume
Ticker,GGRM.JK,GGRM.JK,GGRM.JK,GGRM.JK,GGRM.JK
Date,,,,,
2022-01-03,25802.95703125,25908.103555419726,25739.869116748167,25739.869116748167,218100
2022-01-04,26202.515625,26454.867300361155,25802.95880567817,25802.95880567817,401600
2022-01-05,26370.748046875,26707.216921476276,26202.513609574362,26223.542914236943,364400
2022-01-06,25992.22265625,26370.750170661406,25739.870979975727,26370.750170661406,547600
2022-01-07,26181.484375,26307.660203313255,25908.10341365462,25908.10341365462,431500
2022-01-10,26034.279296875,26265.6016492705,26034.279296875,26181.48443021759,319000
2022-01-11,26160.455078125,26202.51368757536,25971.19133559837,26034.279249773914,362900
2022-01-12,27064.71484375,27127.802757138696,26202.513360771172,26202.513360771172,1100100
2022-01-13,27127.8046875,27148.833993459302,26812.365098110466,27127.8046875,404100
2022-01-14,26896.482421875,27127.804788286747,26581.042831313523,27127.804788286747,624500
2022-01-17,26959.568359375,27085.74418632995,26581.04087851014,27085.74418632995,398300
2022-01-18,25929.1328125,26917.510137875102,25823.986288523927,26875.451528284673,1203600
2022-01-19,26181.484375,26244.572289156626,25845.015499497993,25845.015499497993,177000
2022-01-20,26328.689453125,26349.718757800023,25992.220578324683,26076.33779702476,307600
2022-01-21,26707.216796875,26749.275406003937,26118.396269069883,26244.572096456694,357900
2022-01-24,26707.216796875,26833.39262426181,26496.923751230315,26707.216796875,281800
2022-01-25,26349.720703125,26707.218908993415,26328.691396897448,26707.218908993415,380500
2022-01-26,25676.783203125,26412.808929668307,25655.753896652335,26391.779623195638,2066900
2022-01-27,25697.810546875,25802.95707120755,25676.781242008492,25781.92776634104,465700
2022-01-28,25655.75390625,25781.929745133195,25655.75390625,25718.841825691597,644400
2022-01-31,25760.900390625,25802.959003507654,25655.753858418368,25697.812471301022,1298500
2022-02-02,25739.869140625,25802.957055185354,25655.75192121119,25760.89844547845,617400
2022-02-03,25655.75390625,25739.87113217213,25655.75390625,25739.87113217213,323800
2022-02-04,25781.927734375,25781.927734375,25655.75190533238,25697.810515013254,368400
2022-02-07,26076.337890625,26223.54302387853,25781.927624117943,25781.927624117943,427200
2022-02-08,26076.337890625,26307.660242880545,25823.98623361895,26076.337890625,871500
2022-02-09,25739.869140625,26076.33801828023,25739.869140625,26076.33801828023,769400
2022-02-10,25655.75390625,26034.28142289959,25655.75390625,25760.90043865266,859400
2022-02-11,25655.75390625,25887.07627753586,25571.63668032787,25676.783212730534,1125000
2022-02-14,25992.22265625,25992.22265625,25319.284852851943,25655.75375455097,1116100
2022-02-15,25802.95703125,25908.103555419726,25613.6932877445,25908.103555419726,346500
2022-02-16,26076.337890625,26076.337890625,25718.83970986643,26076.337890625,919000
2022-02-17,26538.984375,26623.10159964342,26013.251720978606,26076.339639461174,1225600
2022-02-18,26749.27734375,27001.629016804247,26370.749834168633,26412.80844634434,1089400
2022-02-21,26496.923828125,26896.480616009423,26433.835914248513,26749.27548363095,331900
2022-02-22,26202.515625,26517.955219201445,25950.163949638845,26496.925912921346,582600
2022-02-23,26181.484375,26244.572289156626,25866.04480421687,26202.513679718875,954900
2022-02-24,26959.568359375,27064.71488183746,25992.220352720356,26160.454788660296,3052700
2022-02-25,26412.806640625,27422.213263833597,26412.806640625,26959.568561529657,3695700
2022-03-01,26286.630859375,27085.7444375,26160.45503125,26665.15834375,1034500
2022-03-02,26917.51171875,27064.716860961915,26391.779067993164,26412.808374023436,1283800
2022-03-04,26370.748046875,26833.392749451756,26244.57221889952,26833.392749451756,858600
2022-03-07,25781.927734375,26328.689660226344,25697.810515013254,26328.689660226344,986400
2022-03-08,25613.693359375,25908.103627873563,25571.63474958949,25781.927798517037,1161100
2022-03-09,25550.607421875,25887.076326195987,25487.519502314815,25676.78326099537,1189100
2022-03-10,26286.630859375,26370.748078125,25487.51728125,25655.75171875,1093400
2022-03-11,25950.162109375,26286.630985995744,25866.044890219815,26160.455157262964,759900
2022-03-14,25697.810546875,26118.396644205197,25676.781242008492,26076.338034472177,876300
2022-03-15,25529.576171875,25887.07435550093,25529.576171875,25781.927830905068,859700
2022-03-16,25613.693359375,25760.89849362428,25529.576139803983,25613.693359375,680400
2022-03-17,25760.900390625,25929.134842155614,25655.753858418368,25655.753858418368,687500
2022-03-18,28242.357421875,28242.357421875,25823.987277782948,25823.987277782948,1771900
2022-03-21,26265.6015625,27632.506367594076,26265.6015625,27632.506367594076,1817500
2022-03-22,26076.337890625,26349.718852381553,26076.337890625,26265.601633379538,425700
2022-03-23,26076.337890625,26349.718852381553,26076.337890625,26076.337890625,387900
2022-03-24,26244.572265625,26328.689484425082,26118.39643742488,26118.39643742488,461800
2022-03-25,25950.162109375,26328.689595573338,25950.162109375,26244.572376418153,661600
2022-03-28,25802.95703125,26013.25007958945,25739.869116748167,25950.162165087615,695000
2022-03-29,25929.1328125,26034.279336476076,25929.1328125,25929.1328125,323800
2022-03-30,26328.689453125,26433.8359765001,25971.191273649663,25992.220578324683,867500
2022-03-31,26581.041015625,26833.39267083663,26328.68936041337,26328.68936041337,1026700
2022-04-01,26833.39453125,26917.511755485895,26496.925634306426,26560.013552483346,1246700
2022-04-04,26896.482421875,26896.482421875,26665.16005546325,26833.394503762705,556600
2022-04-05,27064.71484375,27106.773452675796,26896.480408046813,26896.480408046813,667700
2022-04-06,26328.689453125,27043.68581207568,26160.45501572484,27022.65650740066,1142900
2022-04-07,26013.251953125,26307.662242004346,26013.251953125,26265.603629307298,826400
2022-04-08,25908.103515625,26181.484478046368,25908.103515625,26013.250039633218,947900
2022-04-11,25866.044921875,26055.308665205794,25802.957007431403,25908.103531504064,709500
2022-04-12,25592.662109375,25908.10165879211,25592.662109375,25866.043052203164,1326300
2022-04-13,26076.337890625,26076.337890625,25592.66388136341,25655.75179561492,961600
2022-04-14,25739.869140625,26013.25010371987,25676.781226064642,26013.25010371987,760700
2022-04-18,25908.103515625,25992.220734831575,25760.898382013496,25802.956991616782,431600
2022-04-19,25739.869140625,26370.748286228554,25739.869140625,25908.103579452614,451700
2022-04-20,26265.6015625,26307.66017188751,25760.89824984988,25760.89824984988,971300
2022-04-21,25823.986328125,26349.718948811584,25823.986328125,26349.718948811584,555200
2022-04-22,25739.869140625,25992.22079886642,25676.781226064642,25866.04496974571,834000
2022-04-25,25739.869140625,25908.103579452614,25571.634701797386,25655.75192121119,798300
2022-04-26,26160.455078125,26160.455078125,25697.81037417102,25908.103421422828,1125100
2022-04-27,26391.779296875,26623.10166521414,25992.22247883466,26076.33970368526,1113900
2022-04-28,25823.986328125,26517.95338743129,25655.751889505293,26391.77755846651,1932200
2022-05-09,25487.517578125,25823.986457044142,25487.517578125,25823.986457044142,1941600
2022-05-10,25718.83984375,25718.83984375,25108.99000281071,25487.51749029027,1680500
2022-05-11,25508.546875,25866.045058738666,25445.45896022259,25718.839924258038,1279700
2022-05-12,25529.576171875,26265.60184404603,25487.517562036657,25508.54686695583,1607600
2022-05-13,25676.783203125,26076.340026105652,25529.57805781634,25655.753896652335,1393600
2022-05-17,25487.517578125,25992.220896503713,25487.517578125,25718.83993238191,1076900
2022-05-18,25508.546875,25760.89853410965,25508.546875,25550.60548485161,778900
2022-05-19,25571.634765625,25613.693375436884,25319.2831067537,25487.517546001232,1013600
2022-05-20,25887.07421875,26160.455181255078,25592.66395143684,25655.75186586109,1565200
2022-05-23,25739.869140625,26244.572457107843,25550.605396943934,26055.308713426777,957300
2022-05-24,25697.810546875,25929.13290040661,25676.781242008492,25739.86915660802,419600
2022-05-25,25676.783203125,25908.105574324327,25634.72459017967,25718.841816070333,731400
2022-05-27,26013.251953125,26013.251953125,25697.81235789713,25697.81235789713,375600
2022-05-30,26055.30859375,26076.33789850686,25802.956936667673,26076.33789850686,857700
2022-05-31,26496.923828125,26749.27548363095,26076.337735615078,26076.337735615078,4331800
2022-06-02,26560.013671875,27022.658407252078,26496.92575341449,26496.92575341449,1251800
2022-06-03,26370.748046875,26791.334140126597,26328.68943754984,26623.09970282596,615600
2022-06-06,26118.3984375,26349.72080691425,25950.163987016906,26328.691500603865,884300
2022-06-07,26749.27734375,26980.599710716393,25908.10510023585,26118.398161114386,1764800
2022-06-08,26517.953125,26875.451303528946,26517.953125,26791.33408505155,730000
2022-06-09,26517.953125,26791.33408505155,26496.923820380653,26581.04103885805,814200
2022-06-10,25950.162109375,26412.806814728523,25908.103499797406,26412.806814728523,929500
2022-06-13,25802.95703125,26055.308689257337,25655.75189741239,25655.75189741239,661400
2022-06-14,25992.22265625,26223.54502616808,25781.929592688106,25908.105430825242,723800
2022-06-15,25718.83984375,26181.484550669462,25676.781234030048,25992.22080692968,802000
2022-06-16,25887.07421875,26055.308657214664,25718.83978028534,25802.956999517668,761700
2022-06-17,25613.693359375,25823.986408302546,25613.693359375,25655.75196916051,1481400
2022-06-20,25823.986328125,25992.220766744707,25571.63467019544,25655.751889505293,570700
2022-06-21,26118.3984375,26412.80872584541,25908.105374396135,25908.105374396135,901700
2022-06-22,26055.30859375,26307.660250832323,25950.162069965696,26118.39650802058,727800
2022-06-23,25887.07421875,26202.513790871246,25887.07421875,26076.337962022746,812400
2022-06-24,26223.54296875,26475.89462522554,25845.015484036685,25887.07409344928,1316300
2022-06-27,26097.369140625,26412.808735394843,25950.16399639907,26370.750122758862,728700
2022-06-28,26328.689453125,26560.01180455022,26097.367101699783,26391.77736715006,689900
2022-06-29,25950.162109375,26391.77750993973,25845.015585431018,26328.689595573338,1282200
2022-06-30,26223.54296875,26791.334195819967,25887.07409344928,26076.337835805934,4121500
