Price,Close,High,Low,Open,Volume
Ticker,HEAL.JK,HEAL.JK,HEAL.JK,HEAL.JK,HEAL.JK
Date,,,,,
2022-01-03,1044.3631591796875,1054.123562536507,1005.3215457524094,1049.2433608580973,10076100
2022-01-04,1044.3631591796875,1049.2433608580973,1029.7225541444582,1049.2433608580973,16004300
2022-01-05,1044.3631591796875,1059.0037642149168,1034.602755822868,1044.3631591796875,25094300
2022-01-06,1059.00390625,1073.644513248848,1024.8424899193549,1024.8424899193549,24046700
2022-01-07,1059.00390625,1073.644513248848,1049.2435015841013,1063.8841085829492,4757400
2022-01-10,1107.805908203125,1112.6861104419052,1059.003885815322,1073.644492531663,17652100
2022-01-11,1107.805908203125,1122.446514919466,1083.4048970092235,1112.6861104419052,17309500
2022-01-12,1102.92578125,1127.3267941095132,1083.4049709623894,1107.8059838219026,13631200
2022-01-13,1107.805908203125,1117.5663126806855,1078.5246947704431,1102.9257059643446,10440900
2022-01-14,1083.4049072265625,1112.6861209353885,1059.003895802541,1107.8059186505843,32861400
2022-01-17,1078.524658203125,1107.8058706430288,1073.6444561298078,1083.4048602764424,12054000
2022-01-18,1093.1651611328125,1093.1651611328125,1054.123548235212,1078.5245562962123,21100100
2022-01-19,1098.0455322265625,1098.0455322265625,1073.6445203993055,1083.4049251302083,20061300
2022-01-20,1102.92578125,1117.566388965708,1083.4049709623894,1102.92578125,16542100
2022-01-21,1102.92578125,1117.566388965708,1093.1653761061946,1102.92578125,5212400
2022-01-24,1117.5662841796875,1122.4464862940092,1083.404869379435,1102.9256778367221,40012200
2022-01-25,1088.28515625,1122.4465737107623,1088.28515625,1122.4465737107623,14444600
2022-01-26,1102.92578125,1151.7278069690265,1088.285173534292,1088.285173534292,16635300
2022-01-27,1093.1651611328125,1117.5661691938128,1088.2849595206123,1117.5661691938128,10621300
2022-01-28,1083.4049072265625,1102.9257163657799,1073.6445026569538,1093.1653117961712,9843200
2022-01-31,1068.7642822265625,1088.2850910343536,1063.8840800246148,1083.404888832406,7191600
2022-02-02,1073.64453125,1088.2851384943183,1068.7643288352274,1083.4049360795455,11520100
2022-02-03,1054.1236572265625,1083.4048699273003,1054.1236572265625,1073.644465693721,3753500
2022-02-04,1054.1236572265625,1073.644465693721,1029.7226466426143,1054.1236572265625,2993600
2022-02-07,1049.24365234375,1083.405073582849,1044.363449309593,1063.884261446221,2723100
2022-02-08,1034.602783203125,1063.8839940484963,1010.2017741653154,1049.2433886258107,23368200
2022-02-09,1068.7642822265625,1068.7642822265625,985.8008447934504,1024.8424624090326,10607800
2022-02-10,1039.48291015625,1068.7641188930459,1000.441298507189,1063.8839174369132,16348500
2022-02-11,1015.0819702148438,1039.482979114239,1000.4413648752065,1039.482979114239,6259700
2022-02-14,1015.0819702148438,1029.722575554481,990.6809613154485,1015.0819702148438,11508600
2022-02-15,1019.962158203125,1054.123570200359,1005.3215530614533,1015.0819564892345,15008600
2022-02-16,1049.24365234375,1083.405073582849,1024.8426371729652,1024.8426371729652,13617600
2022-02-17,1063.8841552734375,1107.8059781975703,1049.24354763206,1049.24354763206,13837600
2022-02-18,1068.7642822265625,1093.1652932363015,1044.3632712168237,1063.8840800246148,19034000
2022-02-21,1039.48291015625,1078.524521805311,1019.9621043317195,1073.6443203491783,17056000
2022-02-22,1044.3631591796875,1068.7641675717362,1019.9621507876387,1034.602755822868,14342600
2022-02-23,1044.3631591796875,1059.0037642149168,1029.7225541444582,1054.123562536507,15064200
2022-02-24,1019.962158203125,1044.3631667725776,1010.2017547753438,1039.4829650586871,16807800
2022-02-25,1039.48291015625,1068.7641188930459,1005.3214999633216,1019.9621043317195,6985500
2022-03-01,1049.24365234375,1068.764464480378,1015.0822311046512,1039.4832462754362,34376800
2022-03-02,1044.3631591796875,1068.7641675717362,1039.4829575012777,1049.2433608580973,22568300
2022-03-04,1059.00390625,1083.4049179147466,1034.6028945852536,1044.363299251152,25083200
2022-03-07,1049.24365234375,1063.884261446221,1015.0822311046512,1063.884261446221,21940000
2022-03-08,1112.68603515625,1151.7276504248905,1049.2434103447094,1049.2434103447094,71459700
2022-03-09,1122.446533203125,1146.8475447944973,1112.6861285665761,1137.0871401579484,55436400
2022-03-10,1200.5296630859375,1200.5296630859375,1112.6860292016006,1137.0870386139163,40795700
2022-03-11,1161.488037109375,1200.529651802127,1146.847431599593,1200.529651802127,12405900
2022-03-14,1117.5662841796875,1171.248507437227,1117.5662841796875,1161.4881032085834,17542000
2022-03-15,1137.0870361328125,1146.8474398764417,1117.566228645554,1132.206834260998,17032200
2022-03-16,1146.8475341796875,1156.6079387258976,1137.0871296334774,1137.0871296334774,10027100
2022-03-17,1151.7276611328125,1161.4880650407176,1137.0870552709548,1146.84745917886,10002600
2022-03-18,1156.60791015625,1161.488112308808,1141.967303698576,1151.727708003692,9000500
2022-03-21,1171.2484130859375,1176.128614807129,1156.6078079223632,1166.368211364746,7198200
2022-03-22,1185.8890380859375,1200.5296434944057,1161.4880290718236,1176.1286344802918,10181800
2022-03-23,1185.8890380859375,1200.5296434944057,1166.3682308746463,1171.248432677469,10990400
2022-03-24,1176.128662109375,1215.1702774491052,1176.128662109375,1185.8890659443075,20463600
2022-03-25,1166.3682861328125,1181.008892234898,1161.488084098784,1176.1286902008694,11434200
2022-03-28,1151.7276611328125,1185.8890748104807,1141.9672572249074,1166.3682669946702,11660200
2022-03-29,1127.3267822265625,1151.727794828869,1117.56637718564,1151.727794828869,7097400
2022-03-30,1127.3267822265625,1132.2069847470239,1122.4465797061011,1127.3267822265625,15000300
2022-03-31,1146.8475341796875,1156.6079387258976,1117.5663205410572,1132.2069273603724,12001100
2022-04-01,1185.8890380859375,1234.6910561141653,1151.7276254661779,1161.4880290718236,31028100
