Price,Close,High,Low,Open,Volume
Ticker,INTP.JK,INTP.JK,INTP.JK,INTP.JK,INTP.JK
Date,,,,,
2022-01-03,10292.5576171875,10600.454639923877,10248.57232822516,10556.469350961537,2249300
2022-01-04,10094.625,10424.514705882353,10072.632352941177,10292.558823529413,2037300
2022-01-05,9940.6748046875,10182.593881792727,9918.682161314298,10094.623308299917,2393700
2022-01-06,9808.7197265625,9940.67559732343,9654.771210674748,9918.682952196608,3765100
2022-01-07,9632.779296875,9852.705764840182,9632.779296875,9808.720471247147,4401100
2022-01-10,9610.7861328125,9764.734652102403,9610.7861328125,9632.778778425343,2271000
2022-01-11,9610.7861328125,9720.749360876716,9522.815550361127,9632.778778425343,3086100
2022-01-12,9676.763671875,9720.748961292615,9544.80780362216,9632.778382457387,2685500
2022-01-13,9742.7412109375,9764.733854754515,9654.770635669442,9676.763279486457,1650300
2022-01-14,9742.7412109375,9742.7412109375,9654.770635669442,9742.7412109375,2981900
2022-01-17,9566.80078125,9742.741945043104,9522.815490301724,9742.741945043104,2977700
2022-01-18,9566.80078125,9676.76400862069,9412.852262931034,9566.80078125,3125800
2022-01-19,9390.859375,9676.763758782201,9368.866730093678,9566.800534250586,3997100
2022-01-20,9456.837890625,9588.793768168605,9324.882013081397,9390.859951853197,3238800
2022-01-21,9478.8310546875,9544.808997063516,9346.875169935469,9346.875169935469,3043100
2022-01-24,9786.7275390625,9786.7275390625,9456.83784673455,9456.83784673455,2363600
2022-01-25,9632.779296875,9698.757237264555,9500.823416095891,9676.764590468036,1615700
2022-01-26,9720.7490234375,9720.7490234375,9544.807864642251,9632.778444039875,1330800
2022-01-27,9588.7939453125,9720.749825293866,9544.808651985379,9720.749825293866,1426100
2022-01-28,9632.779296875,9698.757237264555,9456.838122502853,9522.816062892409,1100100
2022-01-31,9632.779296875,9698.757237264555,9500.823416095891,9654.771943671518,1553900
2022-02-02,9676.763671875,9764.734250710228,9610.78573774858,9632.778382457387,965700
2022-02-03,9588.7939453125,9698.757178630303,9434.845418667575,9676.764531966743,1295600
2022-02-04,9566.80078125,9852.705172413793,9522.815490301724,9588.793426724138,2377000
2022-02-07,9830.712890625,9830.712890625,9544.808488884228,9588.793781459732,1420200
2022-02-08,9544.80859375,9874.698291690667,9522.815947220623,9830.712998631912,4034000
2022-02-09,9566.80078125,9676.76400862069,9500.822844827586,9676.76400862069,3124200
2022-02-10,9544.80859375,9764.735059043778,9544.80859375,9566.801240279377,1839200
2022-02-11,9610.7861328125,9632.778778425343,9456.837613522597,9544.80819597397,1391100
2022-02-14,9478.8310546875,9588.79429198086,9368.86781739414,9566.801644522187,4753500
2022-02-15,9566.80078125,9588.793426724138,9456.83755387931,9478.830199353448,1507700
2022-02-16,9654.771484375,9720.749421625853,9522.81560987329,9522.81560987329,2358300
2022-02-17,9786.7275390625,9852.70547752809,9610.786369820928,9654.771662131321,2637000
2022-02-18,9610.7861328125,9808.71994332809,9610.7861328125,9764.734652102403,1935500
2022-02-21,9852.705078125,9852.705078125,9588.793334960938,9610.78598022461,2829200
2022-02-22,9808.7197265625,9852.705016816144,9610.785920421105,9852.705016816144,3632000
2022-02-23,9676.763671875,9786.726895419035,9632.778382457387,9786.726895419035,2386500
2022-02-24,9214.9189453125,9742.742464853072,9170.933652017453,9632.779231615454,7806300
2022-02-25,9632.779296875,9830.713118043665,9236.911654537671,9236.911654537671,7715500
2022-03-01,9258.9033203125,10028.645876633018,9236.9106758462,9830.712076436314,8870100
2022-03-02,8972.9990234375,9302.88869341682,8972.9990234375,9258.903404086244,11001000
2022-03-04,8972.9990234375,9038.976957433364,8797.057866115196,8885.028444776348,13771300
2022-03-07,8972.9990234375,9126.947536094516,8797.057866115196,8929.013734106924,8489700
2022-03-08,8797.0576171875,8994.991413574218,8797.0576171875,8972.99876953125,5886000
2022-03-09,8841.04296875,8929.013545553484,8731.079747745647,8797.05768034826,2976100
2022-03-10,9412.8525390625,9434.845185181804,8929.014324437792,8972.999616676401,6188900
2022-03-11,9390.859375,9412.852019906324,9236.910860655738,9412.852019906324,1457200
