Price,Close,High,Low,Open,Volume
Ticker,ITMG.JK,ITMG.JK,ITMG.JK,ITMG.JK,ITMG.JK
Date,,,,,
2022-01-03,9856.99609375,9982.562922969744,9706.315898686305,9718.872581608279,6248000
2022-01-04,10007.6767578125,10032.79012483336,9856.996555687343,9869.553239197772,3148100
2022-01-05,10070.4599609375,10409.490408500234,10045.346594451372,10120.686693909758,3537100
2022-01-06,9856.99609375,10095.573069267515,9819.326044984076,10070.459703423567,3597300
2022-01-07,10057.904296875,10233.697880091291,9894.667398174157,9995.120874297752,4142100
2022-01-10,10070.4599609375,10158.35674363895,10032.789911208309,10095.573327423628,997200
2022-01-11,10133.244140625,10384.377824407527,10108.130772246746,10221.140929948884,2554500
2022-01-12,10133.244140625,10271.36766670539,10095.574088057621,10183.470877381505,1386900
2022-01-13,10346.70703125,10447.160497572815,10196.026831765777,10271.366931507888,2109100
2022-01-14,10396.9345703125,10484.831360158138,10296.4810962032,10422.047938839825,1899700
2022-01-17,10610.396484375,10622.95316660503,10472.272979844674,10522.499708764793,2603100
2022-01-18,10459.7177734375,10773.634873480642,10359.264301423695,10660.62471746511,3156200
2022-01-19,10522.5009765625,10635.511130248733,10321.594036675866,10484.830925333757,1383200
2022-01-20,10459.7177734375,10597.841297456484,10422.047721432324,10522.501193446129,1465800
2022-01-21,10447.1611328125,10484.831184974084,10321.594292273889,10422.047764704777,1176700
2022-01-24,10798.748046875,10798.748046875002,10409.490849836484,10447.160901162792,4409400
2022-01-25,10660.625,10936.872055359247,10572.728209658422,10836.418580683157,2437700
2022-01-26,10748.5205078125,10836.417287666109,10610.396996613976,10660.623727958895,2321800
2022-01-27,11125.2216796875,11125.221679687502,10723.407804123166,10748.521171345938,5322500
2022-01-28,11326.12890625,11401.469009839248,10987.098440098394,11137.778647276886,3732600
2022-01-31,10874.0888671875,11376.356251353203,10861.532182583358,11326.129512936634,3660000
2022-02-02,10710.8525390625,10961.986244550484,10622.955742141705,10874.089447629689,2195200
2022-02-03,10509.9443359375,10761.07801182609,10233.69729246005,10723.407960442803,3394600
2022-02-04,10447.1611328125,10635.511393620418,10396.934396597055,10509.944553081807,1219500
2022-02-07,10585.2861328125,10710.85299085298,10547.616075400356,10560.172761204403,2379600
2022-02-08,10459.7177734375,10723.40813747374,10447.161089435775,10698.294769470289,4245300
2022-02-09,10874.0888671875,10874.0888671875,10509.945013667364,10560.171752083934,3160900
2022-02-10,10673.1796875,10924.313327205884,10648.066323529412,10899.199963235294,1934600
2022-02-11,10987.0986328125,10987.098632812498,10622.954792410714,10673.181529017857,2595900
2022-02-14,11514.4775390625,11539.590903378885,10987.096888418417,10987.096888418417,5991900
2022-02-15,11740.5,11753.056684491978,11451.696256684492,11514.479679144384,3541700
2022-02-16,11790.7255859375,11916.292418588591,11652.6020700213,11778.16890267239,3412500
2022-02-17,11539.59375,11765.61408460283,11451.696953210012,11753.057399347117,2998100
2022-02-18,11602.3759765625,11640.046028434457,11351.242297416125,11451.695769074675,1670700
2022-02-21,11627.4892578125,11778.169464177241,11589.819206221315,11614.932573948772,1498600
2022-02-22,11652.6015625,11765.6117069639,11489.364687163254,11727.941658809266,2174400
2022-02-23,12041.861328125,12104.644755278936,11765.61424864768,11916.294473817128,4480000
2022-02-24,13548.6611328125,13737.011380256603,12192.539351214955,12305.549499681418,19453000
2022-02-25,13397.98046875,13912.804460520148,13385.423786023897,13561.217344189316,8341200
2022-03-01,13887.6923828125,14289.50626730617,13737.012176127373,13737.012176127373,8939000
2022-03-02,14126.26953125,14678.763628472223,14025.816059027778,14327.176475694445,7478400
2022-03-04,14678.763671875,14766.66046032934,14314.619833992727,14703.87704000481,12324500
2022-03-07,15105.689453125,15168.472867310888,14879.669162055798,15068.019404613466,11311000
2022-03-08,14214.1650390625,14967.566012864398,14076.041527198817,14967.566012864398,9665100
2022-03-09,13963.033203125,14641.094168024956,13862.579726843527,14264.393631969426,7098500
2022-03-10,13636.5595703125,13900.249948743956,13146.848867511222,13699.342993748562,7828000
2022-03-11,13586.3330078125,14050.930347266347,13197.075777459277,13234.745832009588,3818000
2022-03-14,13071.5078125,13749.568736491354,12933.384290946206,13737.012052713737,5760100
2022-03-15,12971.052734375,13184.516332133348,12807.815865500967,13058.949509922555,3423100
2022-03-16,13548.6611328125,13548.661132812498,13058.95048945783,13071.50717262077,3449600
2022-03-17,13209.6318359375,13611.445732087688,13109.17836189995,13561.218995068915,4173600
2022-03-18,13548.6611328125,13674.227964441901,13209.630687413113,13259.857420064875,3322300
2022-03-21,13385.4228515625,13561.216397455442,13310.082760465526,13548.659715605945,3184500
2022-03-22,13737.01171875,13850.021870001143,13322.641164162478,13347.754531107177,5209400
2022-03-23,14088.5986328125,14113.711999359404,13925.361750257633,13963.031800077986,5351500
2022-03-24,13963.033203125,14427.630530926823,13812.352988702789,14314.620370110164,11516500
2022-03-25,14327.177734375,14364.847789767746,14063.487346625765,14063.487346625765,9149000
2022-03-28,14741.5478515625,14791.774590409392,14339.733940787373,14339.733940787373,6139800
2022-03-29,14553.1953125,14892.225746872302,14364.845071182051,14766.658919327005,6603800
2022-03-30,14226.7216796875,14590.865482609774,14138.824899671778,14565.752116890997,8894300
2022-03-31,14339.7333984375,14465.300240805604,14264.393293016637,14264.393293016637,7237200
2022-04-01,14477.857421875,14477.857421875,14276.950467191566,14364.847259865568,12158600
2022-04-04,15061.80078125,15061.800781249998,15061.800781249998,15061.800781249998,2043100
2022-04-05,14724.9091796875,14795.094638122619,14373.981887511916,14500.315712695126,9575000
2022-04-06,15510.9853515625,15581.170805641968,14879.316264847286,14879.316264847286,10995200
2022-04-07,15272.3564453125,15637.32084566004,14781.058214075425,15525.024107091567,8539200
2022-04-08,15426.7646484375,15525.024295879777,15188.134076077684,15258.319538536452,5062600
2022-04-11,15426.7646484375,15918.062885648884,15286.393723519961,15525.024295879777,7191100
2022-04-12,14949.5029296875,15468.875331939553,14949.5029296875,15412.72696412852,4635900
2022-04-13,15819.802734375,15889.98819459849,15328.504512810558,15328.504512810558,8244000
2022-04-14,15889.986328125,15974.20887050022,15623.281610603468,15833.83796654152,4332900
2022-04-18,15553.0966796875,15960.172314805675,15496.948316222924,15833.83849701038,5527100
2022-04-19,15230.2431640625,15693.46714969758,15188.13189264113,15693.46714969758,5017300
2022-04-20,15244.28125,15496.948895027625,14991.613604972375,15426.763438075506,4644800
2022-04-21,15314.4658203125,15651.35599417822,15216.206186268333,15356.577092045716,4943900
2022-04-22,15314.4658203125,15468.873816667623,15131.983642801903,15300.428729734764,4347500
2022-04-25,15047.76171875,15146.021356838854,14935.464989505597,15103.910083372202,4055000
2022-04-26,14767.0205078125,15103.910709511643,14767.020507812498,15047.762342561786,3972400
2022-04-27,15216.205078125,15286.39052590233,14767.018212350093,14767.018212350093,3240100
2022-04-28,15946.1357421875,15946.135742187502,15398.689180615924,15510.985911194708,8582400
2022-05-09,16030.3583984375,16479.545323787763,15735.57947867639,16170.729312609457,9592100
2022-05-10,16100.54296875,16170.728421970356,15272.35462074978,15637.318977495639,10687300
2022-05-11,16226.8779296875,17265.622710653653,16226.8779296875,16788.36159507461,9993500
2022-05-12,16563.76953125,17083.14196570445,16226.879303495762,16226.879303495762,9475000
2022-05-13,17813.0703125,17869.218682279356,16760.288379137117,16844.51093380615,10436500
2022-05-17,18697.40625,18851.81425957207,17883.2549268018,17967.477477477478,7142300
2022-05-18,18248.21875,19048.33295673077,17995.55110576923,18837.77658653846,7790700
