Price,Close,High,Low,Open,Volume
Ticker,MEDC.JK,MEDC.JK,MEDC.JK,MEDC.JK,MEDC.JK
Date,,,,,
2022-01-03,397.26202392578125,402.42127098975243,393.8225258831338,402.42127098975243,31820500
2022-01-04,404.14105224609375,405.86080140458773,397.26205561211765,397.26205561211765,31853000
2022-01-05,416.17926025390625,419.61875827253357,404.14101718871063,405.8607661980243,61950400
2022-01-06,419.6188049316406,423.0583033327196,409.30030972840353,416.1793065305616,39833300
2022-01-07,423.0583190917969,426.4978176209985,419.61882056259526,421.33856982719607,35130900
2022-01-10,414.4595947265625,424.7780908608338,414.4595947265625,423.0583415051219,21439800
2022-01-11,407.5805358886719,414.4595322749786,404.14103769551855,414.4595322749786,31835700
2022-01-12,411.0200500488281,416.1792975389808,402.421304231907,412.73979921221235,24663300
2022-01-13,411.0200500488281,416.1792975389808,409.3003008854439,412.73979921221235,15918100
2022-01-14,405.8608093261719,411.020056902352,402.4213109420518,411.020056902352,22463200
2022-01-17,405.8608093261719,411.020056902352,404.1410601341118,411.020056902352,17101300
2022-01-18,412.7398376464844,412.7398376464844,398.9818430582682,407.58058967590335,29608300
2022-01-19,429.937255859375,438.5360009765625,409.300267578125,414.4595146484375,129142100
2022-01-20,447.1347961425781,455.7335422222431,434.2366770230807,434.2366770230807,98485700
2022-01-21,447.1347961425781,455.7335422222431,438.53605006291315,438.53605006291315,47061800
2022-01-24,429.937255859375,442.83537353515624,426.49775781249997,442.83537353515624,76213300
2022-01-25,414.4595947265625,428.21758957225757,409.3003466594269,426.4978402165457,72711300
2022-01-26,438.5360107421875,438.5360107421875,416.17927293964465,416.17927293964465,53170200
2022-01-27,438.5360107421875,447.13475605085785,429.93726543351715,442.8353833965227,62050300
2022-01-28,468.63165283203125,472.93102579379297,429.93729617617544,438.53604209969893,111893300
2022-01-31,477.23040771484375,481.52978075731977,460.03291554493944,472.9310346723677,82051100
2022-02-02,455.7335205078125,481.52975751768867,451.43414767283315,481.52975751768867,69164100
2022-02-03,485.8291320800781,490.1285049303443,447.13477642768254,455.7335221282149,129534000
2022-02-04,481.52978515625,498.7272774832589,468.63166591099326,490.1285313197544,94594700
2022-02-07,498.727294921875,503.0266681539601,481.5298019935345,485.82917522561957,91896300
2022-02-08,498.727294921875,503.0266681539601,485.82917522561957,498.727294921875,59965800
2022-02-09,481.52978515625,498.7272774832589,477.23041207449774,498.7272774832589,58053200
2022-02-10,498.727294921875,498.727294921875,477.23042876144933,481.5298019935345,76219000
2022-02-11,490.1285400390625,498.7272863555373,485.8291668808251,494.42791319729986,39270200
2022-02-14,520.22412109375,524.5234939953513,498.72725658574376,503.026629487345,126660600
2022-02-15,503.0266418457031,528.8228798890725,494.42789583124664,524.5235068818442,86590400
2022-02-16,481.52978515625,494.4279044015067,472.9310389927455,494.4279044015067,140769900
2022-02-17,494.4279479980469,498.72732145889944,477.2304541546365,481.5298276154891,71239000
2022-02-18,490.1285400390625,498.7272863555373,485.8291668808251,494.42791319729986,26434700
2022-02-21,477.23040771484375,490.1285268422719,477.2304077148437,490.1285268422719,38537300
2022-02-22,490.1285400390625,498.7272863555373,481.52979372258767,481.52979372258767,69981700
2022-02-23,481.52978515625,498.7272774832589,481.52978515624994,494.4279044015067,44769800
2022-02-24,546.0203857421875,584.7147437869095,485.82916211706447,485.82916211706447,622814700
2022-02-25,515.9248046875,546.0204182942708,511.62543131510415,541.721044921875,226304800
2022-03-01,524.5234985351562,541.7209902904073,520.2241255963435,528.822871473969,107333100
2022-03-02,563.2178955078125,567.5172687559638,533.1222827707538,550.3197757633587,303915800
2022-03-04,563.2178955078125,576.1160152522662,546.0204025152075,563.2178955078125,199771600
2022-03-07,593.3135375976562,619.1097783627717,580.4154172150985,584.714790675951,323214700
2022-03-08,554.619140625,593.3134992732558,554.619140625,593.3134992732558,248894600
2022-03-09,558.91845703125,584.7146935096154,546.0203387920673,567.5172025240385,179959800
2022-03-10,546.0203857421875,546.0203857421875,520.2241470457062,533.1222663939469,123980900
2022-03-11,546.0203857421875,558.9185050904282,533.1222663939469,546.0203857421875,52855600
2022-03-14,511.6253356933594,546.0203162441734,511.6253356933594,546.0203162441734,85629700
2022-03-15,477.23040771484375,494.427899884748,477.2304077148437,490.1285268422719,223511900
2022-03-16,498.727294921875,507.32604138604523,477.23042876144933,477.23042876144933,137174700
