Price,Close,High,Low,Open,Volume
Ticker,MIKA.JK,MIKA.JK,MIKA.JK,MIKA.JK,MIKA.JK
Date,,,,,
2022-01-03,2120.548828125,2148.9490356445312,2111.0820922851562,2139.4822998046875,12318100
2022-01-04,2130.015869140625,2158.416080729167,2120.5491319444445,2120.5491319444445,12283700
2022-01-05,2101.615478515625,2148.949160464175,2101.615478515625,2130.015687684755,14831500
2022-01-06,2148.948974609375,2158.415710180341,2101.6152967545427,2101.6152967545427,14769900
2022-01-07,2111.08203125,2148.948973514574,2101.6152956838564,2148.948973514574,18583800
2022-01-10,2092.14892578125,2120.549137443439,2082.6821885605204,2120.549137443439,18585200
2022-01-11,2035.348388671875,2120.549018895349,2025.881651980378,2120.549018895349,22683100
2022-01-12,2044.81494140625,2073.2151489257812,2006.947998046875,2035.3482055664062,15626500
2022-01-13,2101.615478515625,2101.615478515625,2044.8150601773648,2063.748532956785,17899800
2022-01-14,2120.548828125,2120.548828125,2063.7484130859375,2101.6153564453125,19752600
2022-01-17,2063.74853515625,2120.548953555046,2044.8150623566512,2120.548953555046,13758500
2022-01-18,1997.4813232421875,2073.2152122750667,1969.0811148548578,2054.281740016847,16930600
2022-01-19,2025.8814697265625,2025.8814697265625,1978.5477905273438,1997.4812622070312,12702800
2022-01-20,2016.414794921875,2044.8150033010563,2016.414794921875,2025.8815310482687,11768900
2022-01-21,2101.615478515625,2111.0822149053347,2006.9481146185246,2025.8815873979447,16606300
2022-01-24,2044.81494140625,2101.6153564453125,2016.4147338867188,2101.6153564453125,15426200
2022-01-25,2092.14892578125,2111.0824002227096,2035.3485024568722,2035.3485024568722,15233900
2022-01-26,2243.61669921875,2272.016910601266,2101.615642306171,2101.615642306171,34926600
2022-01-27,2253.083251953125,2262.549988305869,2224.6830428948924,2243.616515600381,18201500
2022-01-28,2262.550048828125,2309.883731858002,2234.149839010199,2253.0833122221497,20085800
2022-01-31,2385.617919921875,2395.0846576993426,2281.4838043697296,2281.4838043697296,25064300
2022-02-02,2319.350341796875,2423.48443877551,2309.8836057079084,2385.617494419643,19705100
2022-02-03,2357.217529296875,2395.0844775586725,2328.8173181005272,2328.8173181005272,20146700
2022-02-04,2376.15087890625,2442.418034891683,2366.6841423369024,2366.6841423369024,14729300
2022-02-07,2366.68408203125,2414.017763671875,2328.81713671875,2404.5510273437503,23185000
2022-02-08,2205.749755859375,2385.6177617019853,2205.749755859375,2366.684287402763,21177200
2022-02-09,2196.28271484375,2243.6163940429688,2120.548828125,2120.548828125,26498000
2022-02-10,2139.482421875,2205.749576534845,2130.015685495022,2205.749576534845,28505100
2022-02-11,2120.548828125,2167.8825073242188,2111.0820922851562,2139.4822998046875,18341100
2022-02-14,2130.015869140625,2158.416080729167,2092.1489203559026,2120.5491319444445,16086100
2022-02-15,2148.948974609375,2167.882445751308,2130.015503467442,2130.015503467442,17488300
2022-02-16,2139.482421875,2167.8826310149334,2130.015685495022,2167.8826310149334,14820800
2022-02-17,2130.015869140625,2158.416080729167,2111.082394748264,2148.949343532986,18101300
2022-02-18,2111.08203125,2148.948973514574,2101.6152956838564,2148.948973514574,20873000
2022-02-21,2082.68212890625,2139.482550603693,2082.68212890625,2111.0823397549716,27412200
2022-02-22,2073.21533203125,2092.1488053831335,2044.8151220034244,2082.682068707192,21898000
2022-02-23,2092.14892578125,2111.0824002227096,2073.215451339791,2082.6821885605204,20831600
2022-02-24,2073.21533203125,2111.082278735017,2035.3483853274827,2092.1488053831335,23994300
2022-02-25,2101.615478515625,2101.615478515625,2054.2817965670747,2073.215269346495,18595900
2022-03-01,2063.74853515625,2111.0822171552463,2054.2817987564504,2101.615480755447,21541300
2022-03-02,2054.28173828125,2101.6154188868086,2025.8815299179146,2054.28173828125,15727400
2022-03-04,2054.28173828125,2073.2152105234736,2035.3482660390264,2054.28173828125,22053800
2022-03-07,2035.348388671875,2073.2153354378634,2016.4149152888808,2054.281862054869,15664900
2022-03-08,2035.348388671875,2073.2153354378634,2025.881651980378,2035.348388671875,18219100
2022-03-09,2016.414794921875,2044.8150033010563,1997.4813226690874,2044.8150033010563,15962300
2022-03-10,2082.68212890625,2092.148865855824,2006.9482333096591,2016.414970259233,14313700
2022-03-11,2082.68212890625,2101.615602805398,2063.7486550071026,2082.68212890625,14535600
2022-03-14,2082.68212890625,2092.148865855824,2054.2819180575284,2082.68212890625,10745100
2022-03-15,2025.8814697265625,2101.6153564453125,2006.947998046875,2082.681884765625,20986600
2022-03-16,1997.4813232421875,2063.748476145957,1988.0145871130776,2044.8150038877368,19714100
2022-03-17,1988.0147705078125,2025.8817185174853,1969.0812965029763,2006.948244512649,35249300
2022-03-18,1978.548095703125,2035.3485195032147,1978.548095703125,1997.481570303155,23511700
2022-03-21,2025.8814697265625,2054.2816772460938,1988.0145263671875,1988.0145263671875,20193800
2022-03-22,2044.81494140625,2044.81494140625,1988.0145263671875,2044.81494140625,15889200
2022-03-23,2035.348388671875,2063.748598746366,2016.4149152888808,2044.815125363372,11382700
2022-03-24,2054.28173828125,2063.748474402362,2025.8815299179146,2035.3482660390264,13339900
2022-03-25,2025.8814697265625,2063.7484130859375,2006.947998046875,2063.7484130859375,19587700
2022-03-28,2044.81494140625,2063.7484130859375,2025.8814697265625,2054.2816772460938,10816600
2022-03-29,2101.615478515625,2148.949160464175,2054.2817965670747,2054.2817965670747,23430200
2022-03-30,2054.28173828125,2139.482363371256,2054.28173828125,2130.015627250144,13907000
2022-03-31,2054.28173828125,2120.548891129032,2054.28173828125,2054.28173828125,15904300
2022-04-01,2120.548828125,2148.9490356445312,2073.2151489257812,2082.681884765625,13127900
2022-04-04,2148.948974609375,2158.415710180341,2130.015503467442,2148.948974609375,13866900
2022-04-05,2158.416015625,2177.349489446272,2139.482541803728,2158.416015625,14482300
2022-04-06,2205.749755859375,2243.616704457819,2139.4825958120978,2148.949332961709,19704000
2022-04-07,2224.682861328125,2234.149596908245,2186.8159190076462,2205.7493901678854,13123400
2022-04-08,2272.0166015625,2290.9500732421875,2234.149658203125,2234.149658203125,19108500
2022-04-11,2290.950439453125,2309.8839141593494,2253.0834900406767,2272.016964746901,17731800
2022-04-12,2338.283935546875,2357.2174087091976,2281.4835160599064,2300.416989222229,18815700
2022-04-13,2366.68408203125,2414.017763671875,2338.283873046875,2347.7506093750003,18497500
2022-04-14,2470.818359375,2470.818359375,2366.6842522749043,2376.150989284004,20068100
2022-04-18,2556.018798828125,2584.419007703993,2470.8181722005206,2470.8181722005206,15506800
2022-04-19,2508.68505859375,2612.819155365566,2432.951170032429,2565.4854750147406,18455700
2022-04-20,2546.55224609375,2593.8859309653812,2508.6852981964453,2508.6852981964453,21934400
2022-04-21,2556.018798828125,2565.485535120081,2518.1518536603007,2527.618589952257,25498200
2022-04-22,2461.351806640625,2565.4859215369593,2451.8850689227766,2556.019183819111,17526800
2022-04-25,2480.284912109375,2546.552066249702,2451.8847031920923,2461.351439497853,13752500
2022-04-26,2442.41796875,2546.5520681928297,2414.0177598110463,2480.284914001938,12781300
2022-04-27,2414.017822265625,2470.818241613051,2404.5510857077206,2432.9512953814337,12608900
