Price,Close,High,Low,Open,Volume
Ticker,PWON.JK,PWON.JK,PWON.JK,PWON.JK,PWON.JK
Date,,,,,
2022-01-03,433.1056823730469,434.948685276762,427.57667366190157,427.57667366190157,12392300
2022-01-04,442.3206787109375,446.00668436686203,433.10566457112634,433.10566457112634,32459100
2022-01-05,438.6346740722656,444.1636825689749,433.10566557555643,442.32067973673844,37792900
2022-01-06,442.3206787109375,442.3206787109375,434.94866739908855,440.4776758829753,11015300
2022-01-07,442.3206787109375,446.00668436686203,436.7916702270508,442.3206787109375,20683300
2022-01-10,440.47772216796875,442.32072518959205,434.94871310309884,442.32072518959205,44425500
2022-01-11,431.2626953125,438.6347071981838,429.41969234107904,438.6347071981838,17476300
2022-01-12,414.6756591796875,434.94869140624996,410.98965332031247,431.262685546875,41155400
2022-01-13,407.3036193847656,418.3616362006416,405.46061658211966,414.6756305953496,52615900
2022-01-14,403.6176452636719,410.9896570493097,401.7746423172624,407.3036511564908,34905400
2022-01-17,414.6756591796875,418.3616650390625,403.61764160156247,403.61764160156247,36306100
2022-01-18,414.6756591796875,423.890673828125,414.6756591796875,418.3616650390625,51458200
2022-01-19,420.20465087890625,427.57666229783445,414.6756423147101,414.6756423147101,41256600
2022-01-20,420.20465087890625,425.7336594431024,418.3616480241742,420.20465087890625,15711500
2022-01-21,431.2626953125,431.2626953125,420.20467748397436,420.20467748397436,13818700
2022-01-24,414.6756591796875,425.7336767578125,410.98965332031247,423.890673828125,49900100
2022-01-25,398.088623046875,414.67564900716144,398.088623046875,412.83264612268516,53405700
2022-01-26,387.0306091308594,410.9896468389602,383.3446033296131,398.08862653459823,122194500
2022-01-27,388.87359619140625,390.71659901695796,377.8155792380961,387.03059336585454,79234700
2022-01-28,401.774658203125,407.30366726096617,388.8736370681623,390.71664008744267,59039300
2022-01-31,396.2456359863281,405.46065077670784,394.4026330282522,401.77464486055595,49343400
2022-02-02,398.088623046875,410.9896432382089,396.2456201623987,405.4606345847801,37370700
2022-02-03,414.6756591796875,418.3616650390625,398.08863281249995,403.61764160156247,40919500
2022-02-04,412.8326721191406,418.36168112073625,409.1466661180769,414.6756751196725,34193000
2022-02-07,410.9896545410156,418.36166628166166,407.30364867069267,412.83265747617713,35502200
2022-02-08,409.14666748046875,414.6756765004751,401.7746554537936,410.9896704871375,45350900
2022-02-09,405.4606628417969,410.98967188054866,396.2456477772106,409.1466688676314,83034900
2022-02-10,399.931640625,412.8326612903226,398.0886376728111,410.98965833813367,67294700
2022-02-11,398.088623046875,407.3036374692564,394.40261727792245,399.9316259313513,75497900
2022-02-14,392.5596008300781,398.08860929247356,387.03059236768263,398.08860929247356,48340600
2022-02-15,403.6176452636719,405.46064821008133,388.87362169239617,392.5596275852151,40664000
2022-02-16,418.3616638183594,422.0476696669793,403.6176404238798,403.6176404238798,80214100
2022-02-17,418.3616638183594,422.0476696669793,412.83265504542953,418.3616638183594,51859000
2022-02-18,431.2626953125,438.6347071981838,414.67566856971155,416.51867154113245,70098900
2022-02-21,422.0476989746094,434.9487203406455,420.20469592231854,431.26271423606374,35124300
2022-02-22,414.6756591796875,422.0476708984375,412.83265624999996,422.0476708984375,31577300
2022-02-23,420.20465087890625,427.57666229783445,414.6756423147101,414.6756423147101,47880500
2022-02-24,412.8326721191406,420.20468412126814,403.61765711648127,420.20468412126814,65136700
2022-02-25,422.0476989746094,422.0476989746094,407.30367455628243,407.30367455628243,61902500
2022-03-01,410.9896545410156,425.7336780223077,409.1466516058541,422.04767215198467,50784300
2022-03-02,423.8906555175781,423.8906555175781,409.14663271696674,410.98963556704314,30195600
2022-03-04,422.0476989746094,425.7337050791911,416.5186898177368,423.89070202690027,30292100
2022-03-07,407.3036193847656,422.0476418059336,405.46061658211966,422.0476418059336,32151100
2022-03-08,429.419677734375,442.3206980954936,407.30364282960034,407.30364282960034,110503000
