Price,Close,High,Low,Open,Volume
Ticker,RAJA.JK,RAJA.JK,RAJA.JK,RAJA.JK,RAJA.JK
Date,,,,,
2022-01-03,169.00222778320312,169.91575333878802,165.3481255608636,166.2616511164485,1952200
2022-01-04,170.8292999267578,174.48340259898794,169.91577425870028,169.91577425870028,4383200
2022-01-05,173.5698699951172,173.5698699951172,170.82929310045745,171.7428187320107,5140600
2022-01-06,170.8292999267578,175.39692826704547,169.00224859064275,173.5698769309304,3233400
2022-01-07,175.3969268798828,179.0510295232137,170.8292985757192,173.56987555821738,11750600
2022-01-10,171.74282836914062,177.2239824660281,169.91577700351147,175.39693110039894,4034200
2022-01-11,169.91575622558594,173.56985851000715,169.91575622558594,172.65633293890184,2536800
2022-01-12,169.91575622558594,173.56985851000715,169.00223065448063,171.74280736779653,3054400
2022-01-13,168.08872985839844,171.7428326814071,168.08872985839844,169.91578126990277,1859800
2022-01-14,168.08872985839844,169.91578126990277,166.2616784468941,168.08872985839844,3038000
2022-01-17,165.34814453125,180.87808075794197,164.43461887085635,169.91577283321823,4273800
2022-01-18,158.9534454345703,167.1751753708412,158.03991988609576,165.3481242738921,8444900
2022-01-19,157.1264190673828,163.5210989131484,157.1264190673828,163.5210989131484,5035200
2022-01-20,160.780517578125,165.34814591841265,157.1264149058949,157.1264149058949,13264900
2022-01-21,158.03994750976562,160.78052463421244,157.1264218016167,160.78052463421244,3924400
2022-01-24,160.780517578125,162.60756891424006,158.0399405739524,158.0399405739524,5390100
2022-01-25,158.03994750976562,160.78052463421244,155.29937038531884,160.78052463421244,3772900
2022-01-26,154.38584899902344,158.03995193391157,152.55879753157936,158.03995193391157,4834100
2022-01-27,149.81820678710938,154.3858350428139,147.07762983368664,154.3858350428139,7233100
2022-01-28,152.55877685546875,153.47230246538172,148.9046744158168,151.64525124555576,4969800
2022-01-31,159.8669891357422,164.4346173967634,153.4723095703125,154.38583522251673,11954700
2022-02-02,160.780517578125,161.69404324618253,155.29936356977984,161.69404324618253,4771000
2022-02-03,158.9534454345703,162.6075476284685,157.12639433762124,160.7804965315194,4076500
2022-02-04,164.4346160888672,166.26166737874348,158.03993657430013,159.86698786417642,6942600
2022-02-07,169.91575622558594,171.74280736779653,165.34812837005944,166.26165394116472,16573600
2022-02-08,165.34814453125,171.74282415400552,165.34814453125,170.82929849361187,7806600
2022-02-09,166.2616729736328,168.08872432499143,164.43462162227422,166.2616729736328,3012500
2022-02-10,159.8669891357422,169.0022456577846,158.95346348353794,166.26166870117189,8072200
2022-02-11,163.52108764648438,164.43461327579436,159.8669851292445,162.60756201717442,4797800
2022-02-14,178.13751220703125,180.87808931790866,164.43462665264423,166.26167805989584,98319600
