Price,Close,High,Low,Open,Volume
Ticker,SRTG.JK,SRTG.JK,SRTG.JK,SRTG.JK,SRTG.JK
Date,,,,,
2022-01-03,2796.837890625,2861.0276127049183,2549.248962602459,2558.41892289959,30446100
2022-01-04,2723.478515625,2851.85797427399,2723.478515625,2796.838206281566,17434500
2022-01-05,2613.438720703125,2750.9881270559213,2595.098799856086,2732.6482062088817,17763100
2022-01-06,2567.589111328125,2613.438916887556,2475.8895002092636,2613.438916887556,22579000
2022-01-07,2659.28857421875,2686.798456021013,2567.588968211207,2576.758928811961,14782400
2022-01-10,2686.79833984375,2705.13826025224,2613.438658209791,2686.79833984375,15424200
2022-01-11,2622.608642578125,2769.32800719788,2622.608642578125,2686.798364599268,32715200
2022-01-12,2622.608642578125,2677.6284043105334,2613.4386822893903,2650.118523444329,6208200
2022-01-13,2622.608642578125,2650.118523444329,2613.4386822893903,2622.608642578125,4342000
2022-01-14,2585.92919921875,2650.118931114251,2576.7592375193926,2650.118931114251,6879200
2022-01-17,2530.909423828125,2604.2691172724185,2521.7394621475883,2604.2691172724185,6354500
2022-01-18,2466.71923828125,2576.758758204577,2457.5492782876395,2521.7389982429136,11516000
2022-01-19,2512.5693359375,2540.079219177692,2430.039686216925,2466.7195305371806,10238900
2022-01-20,2567.589111328125,2604.26895577567,2503.399383544922,2512.569344656808,14886300
2022-01-21,2640.94873046875,2686.798534817166,2549.2491217719185,2567.5890435112847,12546600
2022-01-24,2604.2685546875,2659.288312885123,2567.5887158890846,2640.9483934859154,6104600
2022-01-25,2540.079345703125,2604.269076460966,2530.9093841662907,2595.0991149241313,8584200
2022-01-26,2549.2490234375,2576.758904985387,2512.569181373651,2540.0790629215376,3426600
2022-01-27,2530.909423828125,2567.5892705502715,2503.3995387865148,2549.2493471891985,3704700
2022-01-28,2530.909423828125,2540.0793855086617,2466.7196920643682,2530.909423828125,6327200
2022-01-31,2521.7392578125,2567.5890625,2512.569296875,2530.90921875,2660100
2022-02-02,2595.098876953125,2622.608759040967,2521.7391913855454,2521.7391913855454,6316600
2022-02-03,2595.098876953125,2613.4387983450197,2530.9091520814927,2595.098876953125,5098200
2022-02-04,2540.079345703125,2595.0991149241313,2521.7394226294564,2595.0991149241313,6589400
2022-02-07,2540.079345703125,2567.5892303136284,2512.569461092622,2540.079345703125,7110300
2022-02-08,2530.909423828125,2558.419308869735,2503.3995387865148,2540.0793855086617,4451900
2022-02-09,2503.399169921875,2549.248971568796,2475.8892889337226,2530.9090509100274,8462400
2022-02-10,2494.229248046875,2512.569168988396,2475.889327105354,2503.3992085176355,5072200
