Price,Close,High,Low,Open,Volume
Ticker,SURI.JK,SURI.JK,SURI.JK,SURI.JK,SURI.JK
Date,,,,,
2023-12-07,162.0,190.0,160.0,165.0,196563200
2023-12-08,170.0,182.0,160.0,160.0,84473700
2023-12-11,165.0,175.0,162.0,171.0,42388800
2023-12-12,171.0,172.0,159.0,169.0,64075500
2023-12-13,164.0,172.0,159.0,171.0,24851200
2023-12-14,160.0,177.0,160.0,164.0,52250500
2023-12-15,161.0,165.0,159.0,161.0,20473700
2023-12-18,164.0,166.0,156.0,160.0,66574500
2023-12-19,151.0,158.0,151.0,154.0,29296200
2023-12-20,170.0,171.0,135.0,135.0,100486700
2023-12-21,167.0,171.0,162.0,169.0,12392500
2023-12-22,167.0,176.0,163.0,169.0,12361500
2023-12-27,161.0,168.0,160.0,165.0,3156600
2023-12-28,161.0,168.0,160.0,160.0,7290400
2023-12-29,164.0,172.0,161.0,161.0,10904900
2024-01-02,165.0,169.0,163.0,164.0,2600900
2024-01-03,168.0,168.0,164.0,165.0,4659700
2024-01-04,169.0,170.0,166.0,169.0,5209100
2024-01-05,168.0,169.0,164.0,169.0,3777500
2024-01-08,170.0,172.0,165.0,167.0,5692500
2024-01-09,166.0,170.0,165.0,170.0,4162000
2024-01-10,166.0,170.0,165.0,166.0,7871800
2024-01-11,164.0,167.0,164.0,166.0,10998900
2024-01-12,164.0,165.0,159.0,164.0,3610500
2024-01-15,164.0,164.0,164.0,164.0,0
2024-01-16,175.0,177.0,162.0,163.0,14279600
2024-01-17,236.0,236.0,173.0,176.0,25097500
2024-01-18,242.0,276.0,216.0,250.0,38314500
2024-01-19,224.0,244.0,220.0,242.0,3963300
2024-01-22,260.0,268.0,204.0,222.0,31226000
2024-01-23,266.0,318.0,248.0,262.0,57294700
2024-01-24,308.0,314.0,246.0,246.0,35923900
2024-01-25,384.0,384.0,288.0,288.0,47017900
2024-01-26,400.0,436.0,330.0,386.0,26017400
2024-01-29,496.0,500.0,388.0,406.0,41678300
2024-01-30,492.0,585.0,460.0,500.0,44718800
2024-01-31,515.0,550.0,488.0,500.0,11853900
2024-02-01,555.0,565.0,500.0,515.0,16240300
2024-02-02,555.0,580.0,530.0,565.0,6637500
2024-02-05,690.0,690.0,550.0,555.0,51846300
2024-02-06,690.0,690.0,690.0,690.0,0
2024-02-07,520.0,705.0,520.0,650.0,76226600
2024-02-12,555.0,595.0,438.0,486.0,23540700
2024-02-13,640.0,640.0,555.0,560.0,29158900
2024-02-15,650.0,685.0,605.0,640.0,31150600
2024-02-16,655.0,680.0,615.0,650.0,20376600
2024-02-19,715.0,750.0,650.0,655.0,42650900
2024-02-20,540.0,745.0,540.0,725.0,53548200
2024-02-21,535.0,555.0,444.0,498.0,67018000
2024-02-22,505.0,595.0,488.0,540.0,56921900
2024-02-23,565.0,565.0,505.0,515.0,68252900
2024-02-26,515.0,595.0,494.0,570.0,58390700
2024-02-27,515.0,535.0,498.0,525.0,30704000
2024-02-28,472.0,525.0,464.0,515.0,36311000
2024-02-29,472.0,496.0,468.0,472.0,26404900
2024-03-01,458.0,486.0,442.0,472.0,20745400
2024-03-04,386.0,482.0,380.0,446.0,31055300
2024-03-05,314.0,392.0,290.0,392.0,69150600
2024-03-06,298.0,320.0,270.0,314.0,24195900
2024-03-07,340.0,344.0,296.0,296.0,52159600
2024-03-08,326.0,344.0,302.0,302.0,36979600
2024-03-13,398.0,400.0,326.0,328.0,88646200
2024-03-14,358.0,404.0,352.0,404.0,57861200
2024-03-15,356.0,392.0,346.0,358.0,52087800
2024-03-18,360.0,378.0,354.0,356.0,29319400
2024-03-19,324.0,372.0,324.0,360.0,26064200
2024-03-20,336.0,344.0,306.0,306.0,20604800
2024-03-21,358.0,370.0,316.0,316.0,36884400
2024-03-22,340.0,384.0,326.0,338.0,50000400
2024-03-25,340.0,340.0,340.0,340.0,0
2024-03-26,340.0,340.0,340.0,340.0,0
2024-03-27,340.0,362.0,340.0,346.0,24356900
2024-03-28,332.0,352.0,324.0,324.0,14910800
2024-04-01,322.0,344.0,322.0,332.0,16546400
2024-04-02,328.0,332.0,306.0,306.0,9151500
2024-04-03,340.0,350.0,310.0,310.0,30043000
2024-04-04,328.0,346.0,326.0,340.0,72032600
2024-04-05,328.0,332.0,310.0,328.0,59004600
2024-04-16,328.0,330.0,308.0,308.0,14297700
2024-04-17,326.0,332.0,322.0,326.0,6628800
2024-04-18,334.0,334.0,306.0,306.0,5340700
2024-04-19,354.0,360.0,328.0,330.0,31914300
2024-04-22,414.0,422.0,354.0,356.0,38763800
2024-04-23,402.0,436.0,386.0,414.0,52247800
2024-04-24,430.0,456.0,398.0,402.0,51525300
2024-04-25,430.0,450.0,426.0,434.0,35296400
2024-04-26,428.0,440.0,428.0,434.0,11713700
2024-04-29,470.0,478.0,426.0,426.0,52052900
2024-04-30,400.0,488.0,388.0,470.0,51590800
2024-05-02,370.0,426.0,368.0,398.0,35568700
2024-05-03,328.0,378.0,326.0,350.0,17214600
2024-05-06,246.0,332.0,246.0,310.0,25570400
2024-05-07,280.0,280.0,226.0,226.0,37116200
