Price,Close,High,Low,Open,Volume
Ticker,TOWR.JK,TOWR.JK,TOWR.JK,TOWR.JK,TOWR.JK
Date,,,,,
2022-01-03,1028.24169921875,1046.3604956807544,1010.1229027567456,1023.7120001032489,29476500
2022-01-04,1023.7119140625,1041.8307090016594,1023.7119140625,1028.24161279729,36127500
2022-01-05,1019.1822509765625,1028.2416487630207,1010.1228531901041,1028.2416487630207,19820500
2022-01-06,1014.6527099609375,1023.7121091570173,996.533911568778,1019.1824095589774,63322400
2022-01-07,969.3555297851562,1010.1228184209806,964.8258310478425,1010.1228184209806,91590100
2022-01-10,960.296142578125,978.4149377211085,955.7664437923792,969.3555401496168,65116600
2022-01-11,951.23681640625,964.8259137834822,933.1180199032739,951.23681640625,106204600
2022-01-12,951.23681640625,960.2962146577381,942.1774181547619,942.1774181547619,64073500
2022-01-13,960.296142578125,969.3555401496168,946.7070462208874,951.2367450066332,33587500
2022-01-14,946.70703125,964.8258261064593,942.1773325358852,955.7664286782297,42004500
2022-01-17,951.23681640625,955.7665155319941,942.1774181547619,946.7071172805059,34758600
2022-01-18,946.70703125,964.8258261064593,928.5882363935407,951.2367299641148,44808100
2022-01-19,933.1179809570312,955.7664756404544,933.1179809570312,946.7070777670851,53267200
2022-01-20,937.6476440429688,978.4149329144022,933.1179452794762,937.6476440429688,43939800
2022-01-21,973.8853149414062,978.4150140806686,937.6477218273075,937.6477218273075,30011300
2022-01-24,969.3555297851562,992.0040234717253,960.2961323105286,987.4743247344115,66201300
2022-01-25,946.70703125,969.3555248205741,942.1773325358852,969.3555248205741,38172800
2022-01-26,942.1774291992188,955.766526735746,937.6477300203763,946.7071283780612,23427600
2022-01-27,928.5882568359375,951.2367509051066,928.5882568359375,942.177353277439,32327500
2022-01-28,933.1179809570312,946.7070777670851,928.5882820203467,937.6476798937159,20280500
2022-01-31,928.5882568359375,946.7070520912728,928.5882568359375,942.177353277439,35790100
2022-02-02,919.5288696289062,933.1179662244074,910.4694718985722,928.5882673592404,50061900
2022-02-03,910.469482421875,924.0585791744403,905.9397835043533,910.469482421875,55888700
2022-02-04,942.1774291992188,942.1774291992188,910.469534947322,910.469534947322,72748100
2022-02-07,933.1179809570312,946.7070777670851,924.058583083662,946.7070777670851,38300700
2022-02-08,924.0586547851562,942.1774519378064,924.0586547851562,933.1180533614813,51376500
2022-02-09,924.0586547851562,937.6477526496438,914.9992562088312,928.5883540733188,65949600
2022-02-10,951.23681640625,964.8259137834822,924.0586216517858,924.0586216517858,71972400
2022-02-11,955.7664184570312,955.7664184570312,937.6476237943386,951.236719791358,38686600
2022-02-14,937.6476440429688,955.7664390969392,914.9991502255058,955.7664390969392,49551000
2022-02-15,946.70703125,946.70703125,924.0585376794259,942.1773325358852,54308200
2022-02-16,942.1774291992188,969.3556242722732,942.1774291992188,946.7071283780612,44297700
