Price,Close,High,Low,Open,Volume
Ticker,TPIA.JK,TPIA.JK,TPIA.JK,TPIA.JK,TPIA.JK
Date,,,,,
2022-01-03,1804.6151123046875,1823.283544500943,1804.6151123046875,1823.283544500943,4238800
2022-01-04,1798.392333984375,1817.0607665170849,1792.1695231401384,1810.8379556728482,6724000
2022-01-05,1810.8377685546875,1835.729009359563,1798.3921481522498,1823.2833889571252,7358400
2022-01-06,1792.1693115234375,1810.8377418518066,1785.9465014139812,1810.8377418518066,4046800
2022-01-07,1804.6151123046875,1817.0607337688577,1792.1694908405173,1792.1694908405173,6351600
2022-01-10,1829.50634765625,1829.50634765625,1792.1694834183675,1804.615104830995,8279200
2022-01-11,1810.8377685546875,1829.506199158344,1798.3921481522498,1829.506199158344,4724400
2022-01-12,1873.0660400390625,1879.2888508033118,1810.8379323965687,1810.8379323965687,27152000
2022-01-13,1879.28857421875,1891.7341939155629,1860.6201446735306,1879.28857421875,13837200
2022-01-14,1866.84326171875,1879.2888834635417,1860.6204508463543,1879.2888834635417,6580400
2022-01-17,1866.84326171875,1879.2888834635417,1854.3976399739583,1873.066072591146,14558800
2022-01-18,1910.40283203125,1922.8484530868284,1873.0659688645155,1873.0659688645155,26757600
2022-01-19,1916.62548828125,1929.0711083350243,1897.9570582005886,1904.1798682274757,8826800
2022-01-20,1960.185302734375,1966.408113219246,1910.4028188554066,1916.6256293402778,17994000
2022-01-21,2003.7449951171875,2009.9678056610296,1960.185321310292,1966.4081318541344,16632400
2022-01-24,2016.1905517578125,2034.858982792607,1997.522120723018,2003.7449310679494,13969600
2022-01-25,2028.6361083984375,2028.6361083984375,1991.2992475076687,2016.1904881015146,14675600
2022-01-26,2065.97314453125,2065.97314453125,2028.6362804734563,2028.6362804734563,13244000
2022-01-27,2090.864013671875,2097.0868232363746,2065.9727754138767,2065.9727754138767,11104800
2022-01-28,2134.42431640625,2134.42431640625,2090.864636479592,2090.864636479592,10751200
2022-01-31,2196.652099609375,2196.652099609375,2146.8696157655363,2146.8696157655363,18057600
2022-02-02,2265.103271484375,2265.103271484375,2190.4295372596152,2196.652348445012,30869200
2022-02-03,2314.885498046875,2314.885498046875,2240.2117723034276,2265.1030142179097,22569200
2022-02-04,2395.781982421875,2395.781982421875,2314.885447950487,2314.885447950487,25556400
2022-02-07,2482.901123046875,2489.1239328790725,2402.004595228305,2402.004595228305,45010000
2022-02-08,2538.90673828125,2545.129548914292,2489.1242532169117,2489.1242532169117,25408400
2022-02-09,2626.026123046875,2638.4717444831163,2545.129583711308,2551.3523944294284,40539600
2022-02-10,2682.031494140625,2682.031494140625,2632.2490070104045,2638.471817901682,30656000
2022-02-11,2495.34716796875,2688.2543056421446,2495.34716796875,2688.2543056421446,71722000
2022-02-14,2339.77685546875,2433.1190172560673,2321.108423111287,2426.896206470246,46788400
2022-02-15,2420.67333984375,2439.3417717705656,2314.8855589251284,2314.8855589251284,23063200
2022-02-16,2439.341796875,2489.1242825255104,2426.8961754623724,2445.564607581314,14404000
2022-02-17,2352.22216796875,2451.787127459491,2352.22216796875,2439.3415075231483,13937200
2022-02-18,2364.667724609375,2364.667724609375,2314.885246196546,2345.999295204564,11495200
2022-02-21,2339.77685546875,2364.6680986120346,2327.3312338971077,2352.2224770403923,12885200
2022-02-22,2308.662841796875,2339.776896268531,2271.3259764308877,2339.776896268531,17116400
2022-02-23,2314.885498046875,2339.7767399613576,2302.4398770896337,2308.662687568254,13319200
2022-02-24,2221.543212890625,2314.8853646927523,2209.0975926503415,2314.8853646927523,20768000
2022-02-25,2246.434814453125,2296.217303416075,2233.9891922123875,2233.9891922123875,16769200
2022-03-01,2314.885498046875,2327.3311190041163,2252.6573932606684,2252.6573932606684,17273200
2022-03-02,2258.880126953125,2321.10822962401,2258.880126953125,2302.4397988227447,12085600
2022-03-04,2227.76611328125,2277.548596259602,2227.76611328125,2258.8801651427198,13588000
2022-03-07,2128.201171875,2227.7661389802633,2115.755550986842,2221.543328536184,20294400
2022-03-08,2065.97314453125,2140.6468726468374,2053.527523178652,2128.2012512942392,16268800
2022-03-09,2121.978515625,2128.201326521261,2047.304784869868,2065.973217558651,18871200
2022-03-10,2190.429443359375,2190.429443359375,2128.201334173029,2146.8697669289327,14968000
2022-03-11,2196.652099609375,2209.097720570335,2171.760857687456,2190.429289128895,12362400
2022-03-14,2227.76611328125,2233.988923653544,2190.429251047486,2196.6520614197802,14855200
2022-03-15,2252.657470703125,2258.880281395675,2233.9890386254747,2240.2118493180246,16360800
2022-03-16,2377.113525390625,2377.113525390625,2265.1029404245746,2271.3257507004664,34512400
2022-03-17,2333.553955078125,2402.00487109375,2333.553955078125,2389.5592500000002,23387200
2022-03-18,2358.4453125,2358.4453125,2333.5540690963057,2339.7768799472296,7731600
2022-03-21,2383.336669921875,2389.559481070496,2364.6682364760118,2370.891047624633,7938400
2022-03-22,2370.890869140625,2402.0049225414205,2370.890869140625,2395.7821118612615,6474800
2022-03-23,2383.336669921875,2395.782292219117,2370.891047624633,2377.113858773254,10799600
2022-03-24,2377.113525390625,2395.7819562183004,2370.890715114733,2383.336335666517,11683200
2022-03-25,2364.667724609375,2383.336154014186,2364.667724609375,2383.336154014186,10634800
2022-03-28,2414.4501953125,2420.6730050942333,2370.8905268403673,2370.8905268403673,10883600
2022-03-29,2470.45556640625,2470.45556640625,2426.8958964696158,2426.8958964696158,23825200
2022-03-30,2489.124267578125,2489.124267578125,2470.455835571289,2476.6786462402342,19318800
2022-03-31,2514.015625,2514.015625,2476.6787592821784,2489.124381188119,30100000
2022-04-01,2526.4609375,2526.4609375,2507.79250692734,2514.0153171182264,35153200
2022-04-04,2557.5751953125,2563.798006006691,2532.6839525357364,2538.906763229927,17955600
2022-04-05,2607.357666015625,2607.357666015625,2557.575180745637,2557.575180745637,16175200
2022-04-06,2626.026123046875,2626.026123046875,2570.02082658379,2607.3576908925133,26863600
2022-04-07,2638.4716796875,2650.9173008181015,2613.580437426297,2626.0260585568985,18432000
2022-04-08,2675.80859375,2675.80859375,2626.026108284884,2638.4717296511626,13141200
2022-04-11,2750.482421875,2756.7052327842193,2675.8086909643666,2682.031501873586,26592800
2022-04-12,2682.031494140625,2769.1508466185105,2682.031494140625,2750.482413944678,27720000
2022-04-13,2638.4716796875,2713.145406471109,2638.4716796875,2706.922595905808,14610400
2022-04-14,2551.352294921875,2644.6944520531633,2551.352294921875,2638.471641577744,16821600
2022-04-18,2489.124267578125,2551.352374267578,2489.124267578125,2538.9067529296876,17455200
2022-04-19,2594.911865234375,2594.911865234375,2489.1240913519187,2489.1240913519187,11733200
2022-04-20,2588.689208984375,2607.3576407799355,2570.0207771888145,2601.134830181415,6933200
2022-04-21,2551.352294921875,2601.134778725229,2551.352294921875,2588.6891577743904,6928800
2022-04-22,2551.352294921875,2563.7979158727135,2526.4610530201985,2557.5751053972945,6880400
2022-04-25,2538.90673828125,2563.797980813419,2538.90673828125,2551.3523595473343,4458400
2022-04-26,2545.12939453125,2563.797825297983,2526.460963764517,2538.9065842756727,7784800
2022-04-27,2540.719970703125,2559.401735193589,2528.2654610428153,2546.94722553328,6693200
2022-04-28,2503.356689453125,2559.4019884707322,2503.356689453125,2559.4019884707322,11441200
2022-05-09,2497.129150390625,2515.8109146080114,2497.129150390625,2509.5836598688825,7242800
2022-05-10,2484.6748046875,2509.5838252858707,2478.447549537907,2497.129314986685,8700800
2022-05-11,2472.220458984375,2503.356736805337,2472.220458984375,2484.6749701127596,14069600
2022-05-12,2459.765869140625,2490.90214596519,2453.538613775712,2472.220379870451,12628400
2022-05-13,2465.9931640625,2472.2204195273043,2428.6296312736745,2472.2204195273043,12838400
2022-05-17,2459.765869140625,2497.1294013301026,2459.765869140625,2465.9931245055377,9953200
