Price,Close,High,Low,Open,Volume
Ticker,UNTR.JK,UNTR.JK,UNTR.JK,UNTR.JK,UNTR.JK
Date,,,,,
2022-01-03,13422.9658203125,13607.473941553908,13376.838790002148,13469.092850622852,2714800
2022-01-04,13484.4677734375,13607.473180720854,13407.589393885406,13438.340745706244,1849100
2022-01-05,13499.84375,13807.357275056947,13361.462663724375,13484.468073747154,3216800
2022-01-06,13361.4609375,13499.842005897584,13192.328520569621,13438.339308831992,2719200
2022-01-07,13638.2236328125,13761.229031981047,13376.837159579341,13469.091208955751,4067200
2022-01-10,13407.587890625,13715.101374354932,13407.587890625,13715.101374354932,1267900
2022-01-11,13376.8359375,13638.222386853447,13376.8359375,13561.344019396553,4133500
2022-01-12,13592.095703125,13699.725420231192,13376.836268912612,13530.593007635745,2176100
2022-01-13,13945.7373046875,13945.7373046875,13484.46705205175,13576.7211025789,3815800
2022-01-14,14468.5107421875,14483.886417790249,13822.732366872011,13884.23506928301,7373800
2022-01-17,14453.134765625,14699.145570146276,14407.00773977726,14483.886116190159,4935000
2022-01-18,14545.388671875,14576.140022132662,14176.372468783033,14453.134621102008,3514900
2022-01-19,14299.376953125,14576.139087701615,14299.376953125002,14545.387739415324,2979200
2022-01-20,14053.369140625,14437.761075543627,13945.739398847785,14207.12591459245,4772900
2022-01-21,14453.134765625,14453.134765625,13976.488831865026,14053.367208277925,2128200
2022-01-24,14391.6318359375,14545.388586321447,14284.002110668736,14545.388586321447,2373000
2022-01-25,14237.875,14422.383099352051,14145.620950323973,14391.631749460043,2665400
2022-01-26,14007.240234375,14407.007793204582,13991.864559035399,14253.251039808589,4083900
2022-01-27,14299.376953125,14314.752627268146,13853.482402973792,13976.487796118952,3183000
2022-01-28,14299.376953125,14360.879649697581,14207.12290826613,14299.376953125002,1747600
2022-01-31,14222.5009765625,14453.136127533784,14222.5009765625,14437.760450802365,1988000
2022-02-02,14099.4951171875,14191.749174660918,13930.362678486232,14191.749174660918,1865100
2022-02-03,14037.990234375,14099.492929815855,13684.349735590087,13976.487538934145,2137900
2022-02-04,13838.107421875,14037.991195746528,13761.229047309029,14037.991195746528,2257900
